a	art.—
overview	n.概要
overviews	n.概要@n.概観
overweight	a.太り過ぎの@n.過重
overwhelm	vt.圧倒する@vt.打ちのめす
overwhelmed	v.圧倒した@a.圧倒された
overwhelming	a.圧倒的な@v.圧倒する
overwhelmingly	ad.圧倒的に
overworked	a.働きすぎの@vt.酷使した
overwrite	vt.上書きする
overwriting	vt.上書きする@n.上書き
overwritten	v.上書きされた
ovid	n.オウィディウス
oviedo	n.オビエド
ovulation	n.排卵
ovum	n.卵子@n.卵細胞
owe	vt.借りている@vt.負っている
owed	v.借りていた@a.支払うべき
owen	n.オーウェン
owens	n.オーウェンズ
owes	v.借りがある@v.負っている
owing	a.支払うべき@prep.〜のために
owl	n.フクロウ
owls	n.フクロウ
own	a.自分自身の@v.所有する
owned	a.所有された@v.所有した
owner	n.所有者@n.オーナー
owners	n.所有者
ownership	n.所有権
owning	v.所有する@n.所有
owns	v.所有する@v.認める
oxbow	n.馬蹄形の湾曲@n.牛のくびき
oxbridge	n.オックスブリッジ
oxen	n.雄牛
oxford	n.オックスフォード
oxfords	n.オックスフォードシューズ
oxfordshire	n.オックスフォードシャー
oxidant	n.酸化剤
oxidants	n.酸化剤（複数形）
oxidase	n.オキシダーゼ
oxidation	n.酸化
oxidative	a.酸化の
oxide	n.酸化物
oxides	n.酸化物
oxidized	v.酸化した@a.酸化された
oxidizing	vt.酸化させる@a.酸化性の
oxnard	n.オックスナード
oxycontin	n.オキシコンチン
oxygen	n.酸素
oxygenated	a.酸素を含んだ@vt.酸素化した
oxygenation	n.酸素化@n.酸素添加
oxymoron	n.撞着語法@n.矛盾語法
oxytocin	n.オキシトシン
oyez	int.聞け@int.静粛に
oyster	n.牡蠣@n.カキ
oysters	n.牡蠣
ozark	n.オザーク
ozarks	n.オザーク
ozone	n.オゾン
ozzie	n.オジー
paar	n.パー
pablo	n.パブロ
pace	n.ペース@n.速度
paced	v.歩調を合わせた@a.ペースのある
pacemaker	n.ペースメーカー@n.先導者
pacemakers	n.ペースメーカー
pacer	n.ペーサー@n.ペースを設定する人
pacers	n.ペーサー
paces	n.歩調@v.歩き回る
pacheco	n.パチェコ
pacific	n.太平洋@a.太平洋の
pacifier	n.おしゃぶり@n.調停者
pacifism	n.平和主義
pacifist	n.平和主義者@a.平和主義の
pacing	n.ペース配分@v.歩き回る
pacino	n.パチーノ
pack	n.パック@v.詰める
package	n.パッケージ@n.荷物
packaged	a.パッケージ化された@v.梱包した
packager	n.パッケージ業者
packages	n.パッケージ
packaging	n.包装@n.パッケージ
packard	n.パッカード
packed	a.満員の@a.詰まった
packer	n.パッカー@n.荷造り人
packers	n.梱包業者@n.パッカーズ
packet	n.パケット@n.小包
packets	n.パケット@n.小包
packing	n.梱包@n.パッキング
packs	n.パック@vt.詰める
pact	n.協定@n.条約
pad	n.パッド@n.メモ帳@vt.詰め物をする
padded	a.詰め物をした@v.詰め物をした
padding	n.詰め物@n.パディング
paddle	n.パドル@vi.漕ぐ
paddlers	n.漕ぎ手（複数形）
paddles	n.パドル@v.漕ぐ
paddling	n.パドリング@v.漕ぐ
paddock	n.囲い地@n.パドック
paddy	n.水田@n.稲
padilla	n.パディーヤ
padlock	n.南京錠@vt.南京錠をかける
padova	n.パドヴァ
padre	n.神父@n.牧師
padres	n.パドレス@n.神父たち
pads	n.パッド@n.詰め物
padua	n.パドヴァ
paediatric	a.小児科の
paediatrics	n.小児科学
paella	n.パエリア
pagan	n.異教徒@a.異教の
paganini	n.パガニーニ
paganism	n.異教@n.多神教
pagans	n.異教徒
page	n.ページ
pageant	n.ページェント@n.野外劇
pageants	n.ページェント@n.野外劇
paged	vt.呼び出した@a.ページ付きの
pager	n.ポケベル@n.ページャー
pagers	n.ポケベル@n.ページャー
pages	n.ページ
pagination	n.ページ付け@n.ページネーション
paging	n.ページング@v.ポケベルを鳴らす
pagoda	n.塔@n.パゴダ
pah	int.ふん@int.ちぇっ
paid	a.有料の@v.払った
paige	n.ペイジ
pail	n.バケツ@n.手桶
pails	n.バケツ
pain	n.痛み@n.苦痛
paine	n.ペイン
painful	a.痛い@a.苦痛な
painfully	ad.痛いほど@ad.苦しんで
painkiller	n.鎮痛剤
painkillers	n.鎮痛剤
painless	a.痛みのない@a.楽な
pains	n.苦痛@n.骨折り
painstaking	a.骨の折れる@a.入念な
painstakingly	ad.苦心して@ad.入念に
paint	n.ペンキ@v.塗る
paintball	n.ペイントボール
paintbrush	n.絵筆@n.刷毛
painted	a.塗装された@v.塗った
painter	n.画家@n.塗装工
painters	n.画家@n.塗装工
painting	n.絵画@v.描いている
paintings	n.絵画@n.絵
paints	n.塗料@v.塗る
pair	n.ペア@n.一組
paired	v.組み合わせた@a.対になった
pairing	n.ペアリング@n.組み合わせ
pairings	n.組み合わせ@n.ペアリング
pairs	n.ペア@n.組
pairwise	a.対ごとの@ad.対で
paisa	n.パイサ
paisley	n.ペイズリー
pakistan	n.パキスタン
pakistani	a.パキスタンの@n.パキスタン人
pakistanis	n.パキスタン人
pal	n.友達@n.仲間
palace	n.宮殿@n.パレス
palaces	n.宮殿
paladin	n.パラディン@n.勇士
palais	n.宮殿
palatable	a.口に合う@a.受け入れられる
palate	n.口蓋@n.味覚
palatine	a.宮殿の@n.パラティーノ
palau	n.パラオ
palazzo	n.宮殿@n.パラッツォ
pale	a.青白い@a.薄い@v.青ざめる
palermo	n.パレルモ
palestine	n.パレスチナ
palestinian	a.パレスチナの@n.パレスチナ人
palestinians	n.パレスチナ人
palette	n.パレット@n.色調
palettes	n.パレット@n.色調
paley	n.ペイリー
pali	n.パーリ語
palisade	n.柵@n.断崖
palisades	n.柵@n.断崖
pall	n.棺覆い@v.飽きさせる
palladium	n.パラジウム
pallas	n.パラス
pallet	n.パレット@n.荷台
pallets	n.パレット@n.台
palliative	a.緩和の@n.緩和剤
palm	n.手のひら@n.ヤシ
palma	n.パルマ
palmer	n.パーマー
palmerston	n.パーマストン
palmetto	n.パルメット@n.ヤシ
palms	n.手のひら@n.ヤシ
palmtop	n.パームトップ@a.手のひらサイズの
palmyra	n.パルミラ
palomar	n.パロマー
palomino	n.パロミノ
palpable	a.明白な@a.触知できる
palpitations	n.動悸
pals	n.仲間@n.友人
palsy	n.麻痺@n.まひ
paltry	a.つまらない@a.わずかな
pam	n.パム
pamela	n.パメラ
pampa	n.パンパ
pamper	v.甘やかす@v.大事にする
pampered	v.甘やかした@a.甘やかされた
pampering	v.甘やかす@n.もてなし
pampers	vt.甘やかす@n.おむつ
pamphlet	n.パンフレット@n.小冊子
pamphlets	n.パンフレット@n.小冊子
pamplona	n.パンプローナ
pan	n.鍋@n.パン@v.パンする
panacea	n.万能薬@n.万能の解決策
panache	n.華やかさ@n.派手さ
panama	n.パナマ
panamanian	a.パナマの@n.パナマ人
panasonic	n.パナソニック
pancake	n.パンケーキ
pancakes	n.パンケーキ
pancreas	n.膵臓
pancreatic	a.膵臓の
pancreatitis	n.膵炎
panda	n.パンダ
pandas	n.パンダ
pandemic	n.パンデミック@a.世界的流行の
pandemonium	n.大混乱@n.修羅場
pandering	vi.迎合する@n.取り持ち
pandit	n.パンディット@n.学者
pandora	n.パンドラ
pane	n.窓ガラス@n.パネル
panel	n.パネル@n.委員会
panels	n.パネル@n.委員会
panes	n.窓ガラス@n.パネル
pang	n.激痛@n.苦悶
panhandle	n.柄@vi.物乞いする
panic	n.パニック@vi.パニックになる
panicked	a.パニックになった@vi.うろたえた
panics	n.パニック@vi.慌てふためく
panning	n.パンニング@vt.酷評する
panorama	n.パノラマ@n.全景
panoramas	n.パノラマ@n.全景
panoramic	a.パノラマの@a.全景の
pans	n.鍋@v.非難する
pansy	n.パンジー@n.弱虫
pant	v.あえぐ@n.あえぎ
pantheon	n.パンテオン@n.万神殿
panther	n.パンサー@n.ヒョウ
panthers	n.パンサー@n.ヒョウ
pantie	n.パンティー
panties	n.パンティー
panting	vi.あえぐ@n.あえぎ
pantomime	n.パントマイム@n.無言劇
pantry	n.食器室@n.パントリー
pants	n.ズボン@n.パンツ
panty	n.パンティー
pantyhose	n.パンティストッキング
panzer	n.戦車@a.装甲の
pap	n.パップ@n.離乳食
papa	n.パパ
papacy	n.教皇職@n.ローマ教皇庁
papal	a.教皇の@a.ローマ法王の
paparazzi	n.パパラッチ
papas	n.パパ@n.お父さん
papaya	n.パパイヤ
paper	n.紙@n.論文
paperback	n.文庫本@a.文庫本の
paperbacks	n.ペーパーバック@n.文庫本
paperboard	n.板紙
paperless	a.ペーパーレスの
papers	n.論文@n.書類
paperweight	n.文鎮@n.ペーパーウェイト
paperweights	n.文鎮
paperwork	n.事務処理@n.書類作業
paphos	n.パフォス
papillary	a.乳頭の@a.乳頭状の
papillon	n.パピヨン
paprika	n.パプリカ
papua	n.パプア
papyrus	n.パピルス
par	n.同等@n.パー@n.額面
para	n.パラ@prep.〜のために
parable	n.たとえ話@n.寓話
parables	n.寓話@n.たとえ話
parabolic	a.放物線の@a.たとえ話の
paracetamol	n.パラセタモール@n.アセトアミノフェン
parachute	n.パラシュート@vi.落下傘で降下する
parachutes	n.パラシュート@vi.落下傘で降りる
parade	n.パレード@n.行進@vi.行進する
parades	n.パレード@v.行進する
paradigm	n.パラダイム@n.模範
paradigms	n.パラダイム@n.模範
paradise	n.楽園@n.パラダイス
paradox	n.逆説@n.パラドックス
paradoxes	n.逆説@n.パラドックス
paradoxical	a.逆説的な@a.矛盾した
paradoxically	ad.逆説的に@ad.矛盾して
paraffin	n.パラフィン@n.灯油
paragliding	n.パラグライダー
paragon	n.模範@n.鑑
paragraph	n.段落
paragraphs	n.段落@n.パラグラフ
paraguay	n.パラグアイ
parakeet	n.インコ
paralegal	n.パラリーガル@a.法律補助の
paralegals	n.パラリーガル@n.法律事務員
parallax	n.視差
parallel	a.平行の@n.平行
paralleled	vt.平行する@vt.匹敵する
parallelism	n.並列性@n.平行
parallels	n.平行線@v.匹敵する
paralympic	a.パラリンピックの
paralysis	n.麻痺@n.まひ
paramedic	n.救急医療士@n.救急隊員
paramedics	n.救急救命士
parameter	n.パラメータ
parameters	n.パラメータ
parametric	a.パラメトリックな@a.媒介変数の
paramilitary	a.準軍事的な@n.準軍事組織
paramount	a.最高の@a.最重要の@n.パラマウント
paranoia	n.偏執病@n.被害妄想
paranoid	a.偏執的な@n.偏執症患者
paranormal	a.超常現象の@n.超常現象
paraphernalia	n.道具一式@n.身の回り品
paraphrase	v.言い換える@n.言い換え
paraphrasing	vt.言い換える@n.換言
paraprofessional	n.準専門職@a.準専門的な
parapsychology	n.超心理学
paras	n.空挺部隊員@n.段落
parasite	n.寄生虫@n.居候
parasites	n.寄生虫@n.寄生者
parasitic	a.寄生の@a.寄生虫の
parasitology	n.寄生虫学
parasol	n.日傘@n.パラソル
parathyroid	n.副甲状腺@a.副甲状腺の
parcel	n.小包@n.区画
parcels	n.小包@n.区画
parchment	n.羊皮紙
pard	n.ヒョウ@n.相棒
pardon	n.許し@vt.許す@int.すみません
pardoned	vt.許した@vt.恩赦した
pardons	n.恩赦@vt.許す
pare	vt.皮をむく@vt.削減する
pared	v.皮をむいた@v.削減した
parent	n.親@n.親会社
parentage	n.家柄@n.血統
parental	a.親の@a.保護者の
parenteral	a.非経口の
parentheses	n.括弧@n.丸括弧
parenthesis	n.括弧@n.挿入句
parenthood	n.親であること@n.親の状態
parenting	n.子育て@n.育児
parents	n.両親
pareto	n.パレート
pariah	n.のけ者@n.パリア
parietal	a.頭頂の@a.壁の
paring	n.皮むき@n.切りくず
paris	n.パリ
parish	n.教区@n.行政区
parishes	n.教区@n.郡区
parishioners	n.教区民
parisian	a.パリの@n.パリ人
parity	n.同等@n.パリティ
park	n.公園@v.駐車する
parka	n.パーカー@n.防寒着
parked	v.駐車した@a.駐車された
parker	n.パーカー
parkin	n.パーキン
parking	n.駐車@n.駐車場
parkinson	n.パーキンソン
parkland	n.公園用地@n.緑地
parks	n.公園
parkway	n.公園道路@n.パークウェイ
parlay	vt.増やす@n.賭けの繰り越し
parliament	n.議会@n.国会
parliamentarian	n.議員@n.議会主義者
parliamentarians	n.議員@n.議会主義者
parliamentary	a.議会の@a.国会の
parliaments	n.議会@n.国会
parlour	n.客間@n.店
parma	n.パルマ
parmesan	n.パルメザン
parnell	n.パーネル
parochial	a.教区の@a.偏狭な
parodies	n.パロディ@v.パロディ化する
parody	n.パロディ@vt.パロディ化する
parole	n.仮釈放@vt.仮釈放する
paroles	n.仮釈放@v.仮釈放する
paros	n.パロス島
parquet	n.寄木張りの床@a.寄木細工の
parr	n.パー@n.サケの幼魚
parramatta	n.パラマッタ
parrish	n.パリッシュ
parrot	n.オウム@vt.オウム返しする
parrots	n.オウム
parry	vt.受け流す@n.受け流し
pars	n.パー@n.額面
parse	vt.構文解析する@vt.解析する
parsed	v.構文解析した
parser	n.パーサー@n.構文解析器
parsers	n.パーサー@n.構文解析器
parses	vt.構文解析する@n.解析
parsing	n.構文解析@v.解析する
parsley	n.パセリ
parson	n.牧師@n.教区牧師
parsonage	n.牧師館
parsons	n.パーソンズ
part	n.部分@n.役割
partake	vi.参加する@vi.分かち合う
parted	v.分かれた@a.分けられた
parthenon	n.パルテノン
partial	a.部分的な@a.偏った
partially	ad.部分的に@ad.一部
participant	n.参加者
participants	n.参加者
participate	v.参加する
participated	v.参加した
participates	v.参加する@v.関与する
participating	v.参加している
participation	n.参加
participatory	a.参加型の@a.参加の
participle	n.分詞
particle	n.粒子@n.微粒子
particles	n.粒子@n.微粒子
particular	a.特定の@a.特別な
particularly	ad.特に
particulars	n.詳細@n.明細
particulate	a.粒子状の@n.粒子状物質
particulates	n.粒子状物質
parties	n.パーティー@n.当事者
parting	n.別れ@a.別れの
partisan	n.支持者@a.党派的な
partisans	n.熱烈な支持者@n.パルチザン
partisanship	n.党派心@n.偏向
partition	n.パーティション@n.仕切り
partitioned	v.仕切った@a.分割された
partitioning	n.分割@n.区分
partitions	n.仕切り@n.パーティション
partly	ad.部分的に@ad.ある程度
partner	n.パートナー@n.相棒
partnered	v.パートナーになった
partnering	v.提携する@n.パートナーを組むこと
partners	n.パートナー
partnership	n.パートナーシップ@n.提携
partnerships	n.パートナーシップ@n.提携
parton	n.パートン
partridge	n.ヤマウズラ
parts	n.部分@n.部品
party	n.パーティー@n.政党
partying	n.パーティー@v.パーティーをする
pas	n.パ@n.ステップ
pasadena	n.パサデナ
pascal	n.パスカル
paschal	a.過越祭の@a.復活祭の
pasha	n.パシャ@n.高官
pashto	n.パシュトー語
pasquale	n.パスクァーレ
pass	v.通過する@n.パス@v.合格する
passable	a.通行可能な@a.まあまあの
passage	n.通路@n.一節@n.通過
passages	n.通路@n.一節
passageway	n.通路@n.廊下
passe	a.時代遅れの@a.盛りを過ぎた
passed	v.通過した@v.合格した
passenger	n.乗客@n.旅客
passengers	n.乗客
passer	n.通行人@n.パスする人
passers	n.通行人@n.合格者
passes	n.通行証@vi.通る@vt.渡す
passing	a.通過する@n.通過@a.束の間の
passion	n.情熱@n.熱情
passionate	a.情熱的な@a.熱烈な
passionately	ad.情熱的に@ad.激しく
passions	n.情熱@n.熱情
passive	a.受動的な@a.消極的な
passively	ad.受動的に@ad.消極的に
passover	n.過越祭@n.過ぎ越しの祭り
passphrase	n.パスフレーズ
passport	n.パスポート@n.旅券
passports	n.パスポート
password	n.パスワード
passwords	n.パスワード
past	n.過去@a.過去の@prep.〜を過ぎて
pasta	n.パスタ
pastas	n.パスタ
paste	n.ペースト@vt.貼り付ける
pasted	v.貼り付けた
pastel	n.パステル@a.パステル調の
pastels	n.パステル@a.パステル調の
pastes	n.ペースト@vt.貼り付ける
pasteur	n.パスツール
pastime	n.気晴らし@n.娯楽
pastimes	n.娯楽@n.気晴らし
pasting	n.貼り付け@v.貼り付ける
pastor	n.牧師@n.パストル
pastoral	a.牧歌的な@a.牧師の
pastors	n.牧師
pastries	n.ペストリー@n.焼き菓子
pastry	n.ペストリー@n.菓子パン
pasture	n.牧草地@n.放牧地
pastures	n.牧草地@n.牧場
pasty	a.青白い@n.ミートパイ
pat	n.パット@vt.軽くたたく@n.軽打
pataca	n.パタカ
patagonia	n.パタゴニア
patch	n.パッチ@v.修正する
patched	v.継ぎ当てした@a.パッチを当てた
patches	n.パッチ@n.当て布
patching	n.パッチ当て@v.修繕する
patchouli	n.パチョリ
patchwork	n.パッチワーク@n.寄せ集め
patchy	a.まだらの@a.むらのある
pate	n.頭@n.パテ
patel	n.パテル
patent	n.特許@a.特許の
patented	a.特許を取った@v.特許を取得した
patenting	v.特許を取る@n.特許取得
patently	ad.明白に@ad.明らかに
patents	n.特許
paternal	a.父の@a.父方の
paternity	n.父性@n.父であること
paterson	n.パターソン
path	n.道@n.パス
pathetic	a.哀れな@a.情けない
pathfinder	n.先駆者@n.パスファインダー
pathname	n.パス名
pathogen	n.病原体
pathogenesis	n.病因@n.発病機序
pathogenic	a.病原性の
pathogenicity	n.病原性
pathogens	n.病原体
pathol	n.病理学
pathologic	a.病理学の@a.病的な
pathological	a.病理学的な@a.病的な
pathologist	n.病理学者
pathologists	n.病理学者
pathology	n.病理学
pathos	n.哀愁@n.悲哀
paths	n.道@n.パス
pathway	n.経路@n.小道
pathways	n.経路@n.小道
patience	n.忍耐@n.辛抱
patient	n.患者@a.忍耐強い
patiently	ad.辛抱強く@ad.根気よく
patients	n.患者
patina	n.緑青@n.古色
patio	n.パティオ@n.中庭
patios	n.パティオ@n.中庭
patna	n.パトナ
paton	n.ペイトン
patras	n.パトラス
patriarch	n.家長@n.総主教
patriarchal	a.家父長制の@a.族長の
patriarchy	n.家父長制@n.男性支配社会
patrice	n.パトリス
patricia	n.パトリシア
patrick	n.パトリック
patriot	n.愛国者
patriotic	a.愛国的な
patriotism	n.愛国心
patriots	n.愛国者@n.ペイトリオッツ
patrol	n.パトロール@vt.巡回する
patrolled	v.パトロールした@v.巡回した
patrolling	v.巡回する@n.パトロール
patrols	n.パトロール@v.巡回する
patron	n.後援者@n.常連客
patronage	n.後援@n.愛顧
patrons	n.常連客@n.後援者
pats	n.軽くたたくこと@v.軽くたたく
patsy	n.パッツィー@n.身代わり
patted	vt.軽くたたいた@a.撫でた
patten	n.パッテン@n.木靴
patter	n.パタパタ音@vi.早口で話す
pattern	n.パターン@n.模様
patterned	a.模様のある@v.模倣した
patterning	n.パターニング@v.模様をつける
patterns	n.パターン
patterson	n.パターソン
patti	n.パティ
patties	n.パティ@n.小型ハンバーグ
patton	n.パットン
patty	n.パティ
pau	n.パウ
paucity	n.少量@n.不足
paul	n.ポール
paula	n.ポーラ
paulette	n.ポーレット
pauli	n.パウリ
pauline	n.ポーリーン
pauling	n.ポーリング
pauper	n.貧民@n.極貧者
pause	v.一時停止する@n.休止
paused	v.一時停止した@v.ためらった
pauses	n.一時停止@v.一時停止する
pausing	vi.一時停止する@n.休止
pavarotti	n.パヴァロッティ
pave	vt.舗装する@vt.整える
paved	v.舗装した@a.舗装された
pavement	n.舗装道路@n.歩道
pavements	n.舗道@n.歩道
paves	vt.舗装する@vt.準備する
pavilion	n.パビリオン@n.展示館
pavilions	n.パビリオン@n.仮設建築物
paving	n.舗装@v.舗装する
paw	n.足@n.前足@vi.前足でかく
pawn	n.質@n.歩@vt.質に入れる
pawnee	n.ポーニー族
pawns	n.ポーン@n.質草@vt.質に入れる
paws	n.足@n.前足
pax	n.平和@n.パックス
paxton	n.パクストン
pay	v.払う@n.給料
payable	a.支払うべき@a.支払い可能な
payback	n.返済@n.報復
paycheck	n.給料小切手@n.給料
paychecks	n.給料
payday	n.給料日
payed	vt.支払った
payee	n.受取人
payer	n.支払人@n.納税者
payers	n.支払人
paying	v.払っている@a.有料の
payload	n.ペイロード@n.積載量
payloads	n.ペイロード@n.有効積載量
payment	n.支払い
payments	n.支払い
payne	n.ペイン
payoff	n.見返り@n.報酬@n.結末
payoffs	n.見返り@n.報酬
payout	n.支払い@n.配当
payouts	n.支払い@n.配当金
paypal	n.ペイパル
payphone	n.公衆電話
payroll	n.給与支払い名簿@n.給与総額
payrolls	n.給与支払い簿@n.従業員名簿
pays	v.支払う
pc	n.パソコン
pcs	n.パソコン
pct	n.パーセント
pea	n.エンドウ豆
peabody	n.ピーボディ
peace	n.平和
peaceful	a.平和な@a.穏やかな
peacefully	ad.平和的に@ad.穏やかに
peacekeepers	n.平和維持軍@n.調停者
peacekeeping	n.平和維持@a.平和維持の
peacemaker	n.調停者@n.平和を作る人
peacemakers	n.調停者（複数形）
peacemaking	n.調停@a.和平の
peacetime	n.平時@a.平和時の
peach	n.桃
peaches	n.桃
peachy	a.桃色の@a.素晴らしい
peacock	n.孔雀@n.クジャク
peak	n.ピーク@n.頂点@a.ピークの
peaked	a.先のとがった@a.頂点に達した
peaking	v.ピークに達する@a.最高の
peaks	n.頂点@n.ピーク
peanut	n.ピーナッツ@n.落花生
peanuts	n.ピーナッツ@n.落花生
pear	n.洋梨@n.ナシ
pearl	n.真珠@n.パール
pearls	n.真珠
pearly	a.真珠のような@a.真珠色の
pears	n.梨
pearson	n.ピアソン
peas	n.エンドウ豆
peasant	n.農民@n.小作人
peasants	n.農民@n.小作人
peat	n.泥炭@n.ピート
peavey	n.ピーヴィー
pebble	n.小石@n.玉砂利
pebbles	n.小石
pec	n.胸筋
pecan	n.ペカン@n.ピーカン
pecans	n.ペカン
peck	vt.つつく@n.キス
pecker	n.キツツキ@n.くちばし
pecking	vt.つつく@n.つつき
pecos	n.ペコス
pecs	n.胸筋（複数形）
pectin	n.ペクチン
peculiar	a.奇妙な@a.独特の
peculiarities	n.特殊性@n.奇妙さ
peculiarly	ad.特に@ad.奇妙に
pecuniary	a.金銭の@a.金銭的な
ped	n.歩行者@n.足
pedagogic	a.教育学の@a.教授法の
pedagogical	a.教育学の@a.教授法の
pedagogy	n.教育学@n.教授法
pedal	n.ペダル@v.ペダルを踏む
pedals	n.ペダル@v.ペダルを踏む
pedantic	a.衒学的な@a.学者ぶった
peddling	vt.行商する@n.売り歩き
pedestal	n.台座@n.土台
pedestals	n.台座@n.足台
pedestrian	n.歩行者@a.歩行者の
pedestrians	n.歩行者
pedicure	n.ペディキュア@v.足の手入れをする
pedicures	n.ペディキュア（複数形）
pedigree	n.血統@n.家系
pedigrees	n.家系@n.血統書
pedometer	n.歩数計
pedometers	n.歩数計
pedro	n.ペドロ
pee	vi.おしっこする@n.おしっこ
peebles	n.ピーブルズ
peeing	v.おしっこしている
peek	vi.覗く@n.覗き見
peeking	vi.覗く@n.覗き見
peeks	vi.覗く@n.ちらっと見ること
peel	vt.皮をむく@n.皮
peeled	v.皮をむいた@a.皮をむいた
peeler	n.皮むき器@n.警官
peeling	n.皮むき@v.皮をむく
peels	n.皮@vt.皮をむく
peep	vi.のぞく@n.のぞき見
peeping	v.のぞく@n.のぞき見
peeps	n.のぞき見@v.のぞく
peepshow	n.のぞきショー
peer	n.仲間@v.のぞく
peerage	n.貴族@n.貴族の位
peered	vi.じっと見た@vi.覗き込んだ
peering	v.じっと見る@n.ピアリング
peerless	a.無比の@a.比類ない
peers	n.同僚@n.仲間@v.じっと見る
peeves	n.不満@vt.いらいらさせる
peg	n.くぎ@n.ペグ@vt.固定する
pegasus	n.ペガサス
pegged	vt.固定した@a.釘で留めた
peggy	n.ペギー
pegs	n.杭@v.固定する
pei	n.ペイ
peirce	n.パース
pekin	n.北京@n.アヒル
peking	n.北京
pelagic	a.遠洋の@a.外洋性の
pele	n.ペレ
pelham	n.ペラム
pelican	n.ペリカン
pelicans	n.ペリカン
pella	n.ペラ
pellet	n.ペレット@n.小球
pelletier	n.ペルティエ
pellets	n.ペレット@n.小粒
pelt	n.毛皮@vt.投げつける
pelvic	a.骨盤の
pelvis	n.骨盤
pembroke	n.ペンブローク
pen	n.ペン@n.囲い
pena	n.ペーニャ
penal	a.刑罰の@a.刑事上の
penalize	vt.罰する@vt.不利にする
penalized	v.罰した@v.ペナルティを科した
penalties	n.ペナルティ@n.罰則
penalty	n.ペナルティ@n.罰則
penance	n.罰@n.苦行@n.告解
penang	n.ペナン
pence	n.ペンス
penchant	n.好み@n.傾向
pencil	n.鉛筆@vt.鉛筆で書く
pencils	n.鉛筆
pend	vi.未決のままである@vi.係争中である
pendant	n.ペンダント
pendants	n.ペンダント
pendent	a.ぶら下がった@a.未決の
pending	a.保留中の@prep.〜まで
pendragon	n.ペンドラゴン@n.最高指導者
pendulum	n.振り子
penelope	n.ペネロペ
penetrate	vt.貫通する@vt.浸透する
penetrated	v.貫通した@v.浸透した
penetrates	vt.貫通する@vt.浸透する
penetrating	a.鋭い@a.貫通する
penetration	n.浸透@n.貫通
penetrations	n.浸透@n.貫通
peng	n.ペン
penguin	n.ペンギン
penguins	n.ペンギン
penicillin	n.ペニシリン
penile	a.陰茎の
peninsula	n.半島
peninsular	a.半島の@a.半島状の
penis	n.ペニス
penises	n.陰茎
penitentiary	n.刑務所@a.懲罰の
penn	n.ペン
penna	n.ペナ
pennant	n.ペナント@n.優勝旗
pennants	n.ペナント@n.細長い旗
penned	v.書いた@v.囲いに入れた
penney	n.ペニー
pennies	n.ペニー
penning	vt.書く@vt.囲い込む
pennington	n.ペニントン
pennsylvania	n.ペンシルベニア
penny	n.ペニー@n.1セント硬貨
penobscot	n.ペノブスコット
pens	n.ペン
pensacola	n.ペンサコーラ
pension	n.年金@n.ペンション
pensionable	a.年金受給資格のある
pensioner	n.年金受給者
pensioners	n.年金受給者
pensions	n.年金@n.恩給
pensive	a.物思いに沈んだ@a.憂鬱な
pent	a.閉じ込められた@vt.閉じ込めた
pentacle	n.五芒星@n.ペンタクル
pentagon	n.五角形@n.ペンタゴン
pentagram	n.五芒星
pentathlon	n.五種競技
pentax	n.ペンタックス
pentecost	n.聖霊降臨日
pentecostal	a.ペンテコステ派の@n.ペンテコステ派信者
penthouse	n.ペントハウス@n.屋上住宅
pentium	n.ペンティアム
penultimate	a.最後から二番目の
penzance	n.ペンザンス
peony	n.シャクヤク@n.ボタン
people	n.人々@n.国民
peoples	n.民族@n.人々
peoria	n.ピオリア
pep	n.元気@vt.元気づける
pepin	n.ペパン
pepper	n.胡椒@n.ペッパー
peppered	vt.コショウをふった@a.散りばめた
peppermint	n.ペパーミント@n.ハッカ
pepperoni	n.ペパロニ
peppers	n.コショウ@n.ピーマン
pepsi	n.ペプシ
peptic	a.消化性の@a.ペプシンの
peptidase	n.ペプチダーゼ
peptide	n.ペプチド
peptides	n.ペプチド
pepys	n.ピープス
pequot	n.ピクォート族
per	prep.〜につき@prep.〜ごとに
pera	n.ペラ
perceive	vt.知覚する@vt.認識する
perceived	v.認識した@a.知覚された
perceives	vt.知覚する@vt.理解する
perceiving	v.知覚する@v.認識する
percent	n.パーセント
percentage	n.パーセンテージ@n.割合
percentages	n.割合@n.パーセンテージ
percentile	n.パーセンタイル@n.百分位数
percentiles	n.百分位数
percents	n.パーセント
perceptible	a.知覚できる@a.認識できる
perception	n.認識@n.知覚
perceptions	n.認識@n.知覚
perceptive	a.知覚力のある@a.洞察力のある
perceptual	a.知覚の@a.認知の
perch	n.止まり木@vi.止まる@n.パーチ
perchance	ad.ひょっとして@ad.偶然に
perched	v.止まった@v.据えた
perches	n.止まり木@vi.止まる@n.パーチ
perchlorate	n.過塩素酸塩
percival	n.パーシバル
percolation	n.浸透@n.ろ過
percussion	n.打楽器@n.衝撃
percussionist	n.打楽器奏者
percussive	a.打楽器の@a.衝撃の
percutaneous	a.経皮的な
percy	n.パーシー
perdido	n.ペルディード
perdition	n.破滅@n.地獄
pere	n.神父@n.父
peregrine	n.ハヤブサ@a.外国の
perennial	a.多年生の@a.永続する
perennials	n.多年生植物
perez	n.ペレス
perfect	a.完璧な@v.完成させる
perfected	v.完成させた@a.完璧にした
perfecting	v.完全にする@n.完成
perfection	n.完璧@n.完全
perfectionist	n.完璧主義者
