the	art+m.یہ@art+f.یہ
aching	a.درد بھرا@v.درد کرنا
stead	n+f.جگہ
recoil	v.پیچھے ہٹنا@n+m.پلٹاؤ
eyepiece	n+m.آنکھ کا عدسہ
reconciled	v.صلح کرنا
daze	n+f.بیہوشی@v.مدہوش کرنا
raisin	n+f.کشمش
bibl	n+f.بائبل
bobcat	n+m.بوب کیٹ
freehand	a.آزاد ہاتھ@ad.آزادانہ
amounting	v.ہونا
jamming	v.ٹھونسنا
applicator	n+m.لگانے والا
mezzanine	n+f.بالائی منزل
boer	n+m.بوئر
poisons	n+m.زہر@v.زہر دینا
meghan	n+f.میگھن
nameless	a.بے نام
trot	v.دوڑنا@n+f.چھوٹی دوڑ
zed	n+m.زیڈ
humidifier	n+m.نمی ساز
padilla	n+m.پیڈیلا
susanne	n+f.سوزین
collapses	v.گرنا@n+m.گراؤ
musically	ad.موسیقی کے لحاظ سے
intensify	v.شدید کرنا
voltaire	n+m.وولٹیئر
harmonies	n+f.ہم آہنگی
benito	n+m.بینیٹو
mainstay	n+m.سہارا
accumulating	v.جمع کرنا
indebted	a.مقروض
wald	n+m.والڈ
tasman	n+m.ٹاسمن
breathed	v.سانس لینا
mucosa	n+f.چپچپی جھلی
dachshund	n+m.ڈاکس ہنڈ
syringes	n+f.سرنجیں
misled	v.گمراہ کرنا
mani	n+m.مانی
culprit	n+m.مجرم
transact	v.لین دین کرنا
nepali	n+m.نیپالی@a.نیپالی
regimens	n+m.نظام
wok	n+m.کڑاہی
canola	n+f.کینولا
slicing	v.ٹکڑے کرنا
reproducible	a.قابل تولید
spiced	a.مصالحہ دار
skydiving	n+m.آسمان سے چھلانگ
bogota	n+m.بوگوٹا
pron	n+m.ضمیر
nicks	n+m.کٹاؤ@v.کاٹنا
puncture	n+m.پنکچر@v.پنکچر کرنا
platelets	n+m.پلیٹلیٹس
lighten	v.ہلکا کرنا
pamper	v.لاڈ پیار کرنا
practised	a.ماہر@v.مشق کرنا
canteen	n+f.کینٹین
nineties	n+m.نوے کی دہائی
bracknell	n+m.براکنیل
hysterical	a.ہسٹیریائی
disinfection	n+f.جراثیم کشی
perfusion	n+f.سرایت
darkened	v.اندھیرا کرنا
requisition	n+f.مطالبہ@v.مانگنا
postseason	n+m.سیزن کے بعد
shrug	v.کندھے اچکانا@n+m.کندھے کا اچکاؤ
boils	n+m.پھوڑے@v.ابلنا
enchantment	n+m.جادو
smoothie	n+f.سموتھی
greta	n+f.گریٹا
covey	n+m.جھنڈ
donne	n+m.ڈن
tabbed	a.ٹیب والا
auctioneers	n+m.نیلام کنندہ
pena	n+m.پینا
loathing	n+f.نفرت
dials	n+m.ڈائل@v.ڈائل کرنا
kyrgyz	n+m.کرغیز@a.کرغیز
roadrunner	n+m.سڑک دوڑ
woof	n+f.بھونک@v.بھونکنا
ominous	a.منحوس
misfits	n+m.غیر موزوں
parlour	n+m.بیٹھک
hammocks	n+m.جھولے
quieter	a.زیادہ خاموش
poking	v.ٹہوکنا
tarantino	n+m.ٹرانٹینو
buyout	n+m.خریداری
replays	n+m.دوبارہ چلانا@v.دوبارہ چلانا
adrenergic	a.ایڈرینرجک
bottling	n+f.بوتل بندی
caldera	n+f.آتش فشانی گڑھا
baseman	n+m.بیس مین
botanicals	n+m.نباتیات
techie	n+m.ٹیکنالوجی ماہر
tallest	a.سب سے لمبا
wrestle	v.کشتی لڑنا
entrenched	a.جڑا ہوا
rectify	v.درست کرنا
virtuous	a.نیک
aster	n+m.ستارہ پھول
transparencies	n+f.شفافیت
davy	n+m.ڈیوی
bloomingdale	n+m.بلومنگ ڈیل
northrop	n+m.نارتھروپ
snails	n+f.گھونگے
decipher	v.سمجھنا
incapacity	n+f.نااہلی
mittens	n+f.دستانے
overkill	n+m.حد سے زیادہ
ferns	n+f.فرن
curls	n+f.گھنگریالے بال@v.گھنگریالے کرنا
diag	n+m.تشخیص
chiapas	n+m.چیاپاس
effortless	a.بے محنت
hydroelectric	a.پن بجلی
ens	n+m.وجود
cranial	a.کھوپڑی کا
hindsight	n+f.بعد کی سمجھ
wrecked	a.تباہ@v.تباہ کرنا
wince	v.سکڑنا@n+f.سکڑاؤ
orientated	a.رخ کردہ
friendliness	n+f.دوستانہ پن
abrasives	n+m.رگڑنے والے
invincible	a.ناقابل شکست
healthiest	a.سب سے صحت مند
prometheus	n+m.پرومیتھیس
rushes	v.دوڑنا@n+f.بھیڑ
deities	n+f.دیویاں
wot	v.جاننا
geog	n+f.جغرافیہ
comanche	n+m.کومانچی
melts	v.پگھلنا
trickle	v.ٹپکنا@n+f.قطرہ
disapprove	v.ناپسند کرنا
erratic	a.غیر مستقل
familiarize	v.واقف کرنا
cashing	v.نقد کرنا
spousal	a.ازدواجی
insufficiency	n+f.کمی
abusers	n+m.ظالم
drifted	v.بہنا
copley	n+m.کوپلی
mallard	n+m.جنگلی بطخ
airman	n+m.فضائی فوجی
propagated	v.پھیلانا
hardships	n+f.مشکلات
neurobiology	n+f.اعصابی حیاتیات
sabres	n+f.تلواریں
diamante	n+m.ڈائمانٹے
foraging	v.چارہ ڈھونڈنا
corsets	n+m.کارسیٹ
wasps	n+f.بھڑیں
bureaucrats	n+m.افسر شاہی
wham	int.دھڑام@n+m.زور کی آواز
kowloon	n+m.کولون
fairytale	n+f.پریوں کی کہانی
barm	n+m.خمیر
amplitudes	n+f.وسعت
premiered	v.پہلی بار دکھانا
mitre	n+m.مترا ٹوپی
institutionalized	a.ادارہ جاتی
hamm	n+m.ہیم
bhopal	n+m.بھوپال
tonnage	n+m.ٹن وزن
corals	n+m.مرجان
circulatory	a.خون گردشی
chairmen	n+m.چیئرمین
continuance	n+f.تسلسل
histone	n+m.ہسٹون
opioid	n+m.افیونی@a.افیونی
unrecognized	a.غیر تسلیم شدہ
totalling	v.کل ہونا
premieres	n+f.پہلی نمائش
affectionate	a.پیار کرنے والا
baptiste	n+m.بپتسٹ
translational	a.ترجمہ
unimportant	a.غیر اہم
lehmann	n+m.لیمن
ferrara	n+f.فیرارا
greener	a.زیادہ سبز
endowments	n+f.وقف
keaton	n+m.کیٹن
grudge	n+f.رنجش@v.بخل کرنا
interstitial	a.درمیانی
zoological	a.حیوانیاتی
helical	a.مروڑ دار
fondue	n+m.فونڈیو
norse	a.نارویجین@n+m.نارویجین
windscreen	n+f.ونڈ سکرین
wetting	v.گیلا کرنا
othello	n+m.اوتھیلو
supersonic	a.فوق صوتی
pocatello	n+m.پوکاٹیلو
bosom	n+m.سینہ
maniacs	n+m.پاگل
sysadmin	n+m.نظام منتظم
foothill	n+f.پہاڑی کا دامن
earmarked	v.مختص کرنا
bales	n+m.گٹھے
blackbird	n+m.کالا پرندہ
causation	n+f.سبب
rapes	n+f.زیادتی@v.زیادتی کرنا
persecuted	v.ستانا
vlad	n+m.ولاد
deciduous	a.پت جھڑ
photosynthesis	n+f.ضیائی تالیف
straighten	v.سیدھا کرنا
remotes	n+m.ریموٹ
convocation	n+f.جلسہ
merrick	n+m.میریک
precaution	n+f.احتیاط
playmates	n+m.کھیل کے ساتھی
empirically	ad.تجرباتی طور پر
deteriorating	v.خراب ہونا
cypriot	n+m.قبرصی@a.قبرصی
fascia	n+f.پٹی
philanthropic	a.انسان دوست
fryers	n+m.تلنے کا برتن
layering	n+f.تہہ بندی
geriatrics	n+f.بزرگوں کا علاج
stratified	a.تہہ دار
picky	a.نخرے والا
conley	n+m.کونلی
critter	n+m.جانور
begs	v.بھیک مانگنا
emphasise	v.زور دینا
barth	n+m.بارتھ
mooring	n+f.لنگر اندازی
expats	n+m.بیرون ملک مقیم
micheal	n+m.مائیکل
busts	n+f.مورتیاں@v.توڑنا
endoscopy	n+f.اینڈوسکوپی
buzzwords	n+m.مشہور الفاظ
cutaneous	a.جلدی
lumen	n+m.لیومین
airwaves	n+f.ریڈیو لہریں
porters	n+m.قلی
jagger	n+m.جیگر
forgery	n+f.جعل سازی
setups	n+m.سیٹ اپ
schindler	n+m.شنڈلر
infrequent	a.کم یاب
mull	v.غور کرنا
ort	n+m.جھوٹن
frodo	n+m.فروڈو
superpower	n+f.سپر پاور
recliner	n+m.ریکلائینر
brandenburg	n+m.برینڈنبرگ
incision	n+f.چیرا
trisha	n+f.ٹریشا
grimsby	n+m.گرمسبی
wyeth	n+m.وائیتھ
adjuster	n+m.ایڈجسٹر
jumble	n+m.گڈ مڈ@v.ملانا
impeccable	a.بے عیب
shari	n+f.شیری
marketplaces	n+m.بازار
cognac	n+m.کوگناک
wading	v.پانی میں چلنا
characterizing	v.خصوصیات بیان کرنا
gawker	n+m.گھورنے والا
gagging	v.منہ بند کرنا
imitate	v.نقل کرنا
grasping	v.پکڑنا@a.لالچی
cyclist	n+m.سائیکل سوار
borneo	n+m.بورنیو
generics	n+m.عام ادویات
mortuary	n+m.مردہ خانہ
magneto	n+m.میگنیٹو
crunchy	a.کرارا
teletext	n+m.ٹیلی ٹیکسٹ
bode	v.پیشینگوئی کرنا
sealant	n+m.سیلنٹ
thorns	n+m.کانٹے
rightful	a.جائز
harriers	n+m.ہیریئر
fidel	n+m.فیڈل
scarecrow	n+m.ڈراؤنا پتلا
concertos	n+m.موسیقی
extracurricular	a.نصاب سے باہر
mosaics	n+m.پچی کاری
pious	a.متقی
utterance	n+f.بات
undeveloped	a.غیر ترقی یافتہ
basalt	n+m.بسالٹ
undisputed	a.غیر متنازعہ
distracting	a.پریشان کن
tonal	a.آہنگی
urns	n+f.گلدان
unfolds	v.کھولنا
brocade	n+m.کمخواب
ashtray	n+f.راکھ دانی
seaweed	n+f.سمندری گھاس
psychoanalysis	n+f.نفسیاتی تجزیہ
hesitant	a.جھجکنے والا
poco	ad.تھوڑا
prevails	v.غالب آنا
microchip	n+m.مائیکرو چپ
candlelight	n+f.موم بتی کی روشنی
votive	a.نذری
wafers	n+m.بسکٹ
messina	n+f.میسینا
kors	n+m.کورس
schumann	n+m.شومان
susquehanna	n+f.سسکویہانا
modulo	prep.ماڈیولو
antler	n+m.سینگ
tarts	n+f.ٹارٹ
cuthbert	n+m.کتھبرٹ
nance	n+f.نانس
bangladeshi	n+m.بنگلہ دیشی@a.بنگلہ دیشی
nikolai	n+m.نیکولائی
ludhiana	n+m.لدھیانہ
spankings	n+f.تھپڑ
babble	v.بڑبڑانا@n+f.بڑبڑاہٹ
pretreatment	n+m.پہلے سے علاج
brittney	n+f.برٹنی
jer	n+m.جیر
pessimistic	a.مایوس کن
niches	n+f.طاقیں
tianjin	n+m.تیانجن
winnebago	n+m.ونیباگو
quid	n+m.پاؤنڈ
mcfadden	n+m.میکفیڈن
cadiz	n+m.کیڈز
shortwave	n+f.شارٹ ویو
overlooks	v.نظر انداز کرنا
diversify	v.متنوع کرنا
quaternary	a.چوتھا
subtracted	v.منہا کرنا
hugging	v.گلے لگانا
postman	n+m.ڈاکیا
mcgovern	n+m.میکگورن
olivetti	n+m.اولیویٹی
hikers	n+m.پیدل چلنے والے
vivaldi	n+m.ویوالڈی
overboard	ad.جہاز سے باہر
goddesses	n+f.دیویاں
cuties	n+f.پیاریاں
faithless	a.بے وفا
regained	v.واپس حاصل کرنا
coolidge	n+m.کولج
ephraim	n+m.افرائیم
gilchrist	n+m.گلکرسٹ
preheat	v.پہلے سے گرم کرنا
bernadette	n+f.برناڈیٹ
rookies	n+m.نئے لوگ
foggy	a.دھندلا
shone	v.چمکنا
potpourri	n+m.خوشبودار ملاوٹ
criticizing	v.تنقید کرنا
leafy	a.پتوں والا
passionately	ad.جذباتی طور پر
stroking	v.سہلانا
uzbek	n+m.ازبک@a.ازبک
signatory	n+m.دستخط کنندہ@a.دستخطی
energized	v.توانا کرنا
matured	v.پختہ ہونا
minimums	n+m.کم سے کم
needlepoint	n+f.سوئی کا کام
deng	n+m.ڈینگ
ehrlich	n+m.ایرلچ
firefighting	n+f.آگ بجھانا
disallow	v.نامنظور کرنا
procured	v.حاصل کرنا
exch	n+m.تبادلہ
excellency	n+f.عالی جناب
camels	n+m.اونٹ
kilo	n+m.کلو
justifying	v.جواز پیش کرنا
moisturizer	n+m.نمی بخش کریم
remanded	v.حوالات بھیجنا
shoebox	n+m.جوتوں کا ڈبہ
disagrees	v.اختلاف کرنا
lowdown	n+m.حقیقت
trove	n+m.خزانہ
eased	v.آسان کرنا
slay	v.قتل کرنا
deprive	v.محروم کرنا
kremlin	n+m.کریملن
filer	n+m.فائل کرنے والا
thea	n+f.تھیا
apologetics	n+f.معذرت نامہ
lusty	a.طاقتور
threonine	n+m.تھریونین
encephalitis	n+f.دماغ کی سوزش
virtuoso	n+m.ماہر فن
buzzing	v.بھنبھنانا@n+f.بھنبھناہٹ
dauphin	n+m.ڈوفین
arias	n+f.آریاس
steed	n+m.گھوڑا
cowley	n+m.کاؤلی
paraffin	n+m.پیرافین
unites	v.متحد کرنا
stimulant	n+m.محرک@a.تحریکی
anamorphic	a.بے قاعدہ
subspace	n+m.ذیلی خلا
cleats	n+m.کھلے جوتے
realising	v.احساس کرنا
millet	n+m.باجرہ
invert	v.الٹنا@n+m.الٹا
pressured	v.دباؤ ڈالنا
clarifications	n+f.وضاحتیں
zionism	n+m.صہیونیت
vermilion	n+m.سندور@a.سرخ
grinned	v.مسکرانا
marche	n+f.مارچے
disjoint	a.علیحدہ@v.الگ کرنا
thelma	n+f.تھیلما
carats	n+m.قیراط
hijacked	v.اغوا کرنا
candice	n+f.کینڈس
enlightening	a.روشن خیال
endlessly	ad.لامتناہی طور پر
coworkers	n+m.ساتھی کارکن
hasty	a.جلد باز
karla	n+f.کارلا
dexterity	n+f.چابک دستی
puzzling	a.پریشان کن
nods	v.سر ہلانا@n+m.سر ہلانا
haifa	n+f.حیفا
reincarnation	n+f.آواگون
budweiser	n+m.بڈوائزر
heuristics	n+f.تجرباتی اصول
sumatra	n+f.سماٹرا
tunisian	n+m.تیونسی@a.تیونسی
hologram	n+m.ہولوگرام
nigger	n+m.حبشی
scrape	v.کھرچنا@n+f.کھرچاؤ
kendrick	n+m.کینڈرک
refinishing	n+f.دوبارہ تکمیل
arresting	a.دلکش@v.گرفتار کرنا
bewitched	a.جادو زدہ@v.جادو کرنا
reloading	v.دوبارہ لوڈ کرنا
hombre	n+m.آدمی
munch	v.چبانا
resumption	n+f.دوبارہ شروع
irma	n+f.ارما
intimidated	v.دھمکانا
bidirectional	a.دو طرفہ
traitor	n+m.غدار
clove	n+f.لونگ
illiterate	a.ان پڑھ@n+m.ان پڑھ
starfish	n+f.ستارہ مچھلی
kurdistan	n+m.کردستان
widened	v.چوڑا کرنا
heartbreak	n+m.دل ٹوٹنا
preps	n+f.تیاریاں
bordered	a.کنارہ دار@v.سرحد ہونا
mallet	n+m.ہتھوڑا
leech	n+f.جونک
mylar	n+m.مائلر
giver	n+m.دینے والا
discontent	n+f.عدم اطمینان@a.ناخوش
congestive	a.احتقانی
schilling	n+m.شلنگ
battleground	n+m.میدان جنگ
tectonic	a.ارضیاتی
equate	v.برابر کرنا
inflatables	n+m.ہوا بھرنے والے
gaz	n+f.گیس
punishing	a.سخت@v.سزا دینا
seedling	n+f.پودا
pathologist	n+m.امراضیات دان
dwellers	n+m.رہنے والے
mouthpiece	n+m.منہ کا ٹکڑا
fukuoka	n+m.فوکوکا
parr	n+m.پار
ods	n+m.او ڈی ایس
welles	n+m.ویلز
nymph	n+f.جل پری
reassuring	a.تسلی بخش
gujarati	n+m.گجراتی@a.گجراتی
leno	n+m.لینو
astor	n+m.ایسٹر
sapporo	n+m.ساپورو
predictability	n+f.پیش گوئی
adenocarcinoma	n+m.غدودی سرطان
myles	n+m.مائلز
toning	v.مضبوط کرنا
gestational	a.حملی
snowball	n+m.برف کا گولہ@v.بڑھنا
travelogues	n+m.سفرنامے
ecotourism	n+m.ماحولیاتی سیاحت
prematurely	ad.وقت سے پہلے
frail	a.کمزور
adventurer	n+m.مہم جو
orthopaedics	n+f.ہڈیوں کا علاج
crayons	n+m.کریون
revamped	v.نیا بنانا
irradiated	v.روشن کرنا
awfully	ad.بہت زیادہ
mayflower	n+f.میفلاور
arched	a.محرابی
curfew	n+m.کرفیو
hamlin	n+m.ہیملن
brandeis	n+m.برانڈائس
enlist	v.فوج میں بھرتی ہونا
bree	n+f.بری
vedic	a.ویدی
exemplified	v.مثال دینا
stylistic	a.اسلوبی
corneal	a.آنکھ کی پتلی کا
profane	a.ناپاک@v.بے حرمتی کرنا
crusher	n+m.کچلنے والا
cornelia	n+f.کورنیلیا
romney	n+m.رومنی
macaroni	n+m.مکرونی
electing	v.منتخب کرنا
dictation	n+f.املا
swank	a.شاندار@v.اکڑ دکھانا
robber	n+m.ڈاکو
evacuate	v.خالی کرنا
matisse	n+m.میٹس
conveniences	n+f.سہولیات
proactively	ad.پیش قدمی سے
mccarty	n+m.میکارٹی
roving	a.گھومنے والا
drinker	n+m.پینے والا
softened	v.نرم کرنا
horney	n+m.ہارنی
peking	n+m.پیکنگ
progressives	n+m.ترقی پسند
linger	v.رکنا
fillet	n+m.بونلیس گوشت@v.ٹکڑے کرنا
creationism	n+m.تخلیقیت
churn	v.مکھن نکالنا@n+f.مٹکی
dork	n+m.بیوقوف
nimbus	n+m.بادل
nog	n+m.نوگ
psychosis	n+f.جنون
smartest	a.سب سے ہوشیار
firsthand	a.براہ راست@ad.خود سے
impart	v.دینا
muted	a.خاموش@v.خاموش کرنا
feats	n+m.کارنامے
turbidity	n+f.گدلاپن
mountable	a.چڑھنے کے قابل
concomitant	a.ساتھ ہونے والا@n+m.ہمراہ
oceanographic	a.سمندری
zzz	int.نیند کی آواز
donner	n+m.ڈونر
scaffold	n+m.چوب کاری
oui	int.ہاں
millie	n+f.ملی
nonzero	a.غیر صفر
leisurely	a.آرام سے@ad.آہستہ آہستہ
loki	n+m.لوکی
dislikes	v.ناپسند کرنا@n+f.ناپسندیدگی
mayonnaise	n+f.مایونیز
scavenger	n+m.کچرا چننے والا
touted	v.تعریف کرنا
candace	n+f.کینڈیس
kava	n+f.کاوا
kronos	n+m.کرونوس
adjuvant	n+m.معاون@a.معاون
travolta	n+m.ٹراولٹا
limitless	a.لامحدود
sari	n+f.ساڑی
knopf	n+m.نوف
preventable	a.قابل روک
hangman	n+m.جلاد
bumpy	a.اونچی نیچی
aleph	n+m.الف
mastermind	n+m.ماہر ذہن@v.منصوبہ بنانا
vaccinated	v.ٹیکہ لگانا
sloping	a.ڈھلوان
mitt	n+f.بنا انگلیوں کا دستانہ
acceptability	n+f.قبولیت
constitutionally	ad.آئینی طور پر
disapproval	n+f.ناپسندیدگی
bavarian	a.باویری@n+m.باویری
surcharges	n+m.اضافی محصول
crucified	v.صلیب دینا
pocahontas	n+f.پوکاہونٹس
noticeboard	n+m.اعلان بورڈ
masons	n+m.راج مستری
permutation	n+f.ترتیب
surges	n+f.لہریں@v.اٹھنا
mulligan	n+m.ملیگن
unlucky	a.بدقسمت
yawn	v.جمائی لینا@n+f.جمائی
distort	v.مسخ کرنا
ketchup	n+m.کیچپ
alimony	n+f.گزارہ
viscous	a.گاڑھا
mun	n+m.من
unambiguous	a.واضح
loosing	v.ڈھیلا کرنا
canopies	n+f.شامیانے
handicraft	n+m.دستکاری
emphysema	n+f.سانس کی بیماری
epistemology	n+f.علم المعرفہ
avila	n+f.آویلا
piling	n+f.ڈھیر لگانا
soloist	n+m.تنہا فنکار
rejuvenation	n+f.تجدید شباب
anaconda	n+f.اناکونڈا
basilica	n+f.گرجا گھر
amine	n+m.امین
robbers	n+m.ڈاکو
leveraged	a.فائدہ اٹھایا
burley	n+m.برلے
plasmids	n+m.پلازمڈ
woofer	n+m.ووفر
juliana	n+f.جولیانا
rollercoaster	n+m.جھولا
lowland	n+f.نشیب
connery	n+m.کونری
sausages	n+m.ساسیج
spake	v.بولا
feud	n+f.دشمنی@v.جھگڑنا
subordinated	v.تابع کرنا
roundups	n+m.گھیراؤ
awoke	v.جاگنا
parka	n+f.پارکا
unheard	a.ان سنا
prune	v.کاٹنا@n+m.آلوبخارہ
endanger	v.خطرے میں ڈالنا
cairn	n+m.پتھروں کا ڈھیر
nomadic	a.خانہ بدوش
spock	n+m.اسپاک
decompression	n+f.دباؤ کم کرنا
disgusted	a.نفرت زدہ
draco	n+m.ڈریکو
galena	n+f.گیلینا
inactivation	n+f.غیر فعال کرنا
lymphatic	a.لمفاوی
olfactory	a.بویائی
berks	n+m.برکس
prolong	v.لمبا کرنا
knits	v.بننا@n+m.بناؤ
kroon	n+f.کرون
builtin	a.اندر بنایا ہوا
thinly	ad.پتلے طور پر
rollback	n+m.واپسی
garnett	n+m.گارنیٹ
galen	n+m.جالینوس
weaning	n+f.دودھ چھڑانا
snowshoe	n+m.برف کا جوتا
arable	a.قابل کاشت
backside	n+m.پشت
parallelism	n+m.متوازیت
brut	a.خشک
candlewood	n+m.موم بتی لکڑی
vernacular	n+f.مادری زبان@a.دیسی
latitudes	n+f.عرض البلد
alkali	n+m.کھار
mowing	v.گھاس کاٹنا
painkiller	n+m.درد کی دوا
nutty	a.مغز دار
foreseen	v.پیش گوئی کرنا
restrooms	n+m.بیت الخلا
palmerston	n+m.پامرسٹن
sever	v.کاٹنا
myeloma	n+m.بون میرو کا سرطان
expend	v.خرچ کرنا
gist	n+m.خلاصہ
auntie	n+f.خالہ
afghans	n+m.افغان
scallops	n+f.سیپیاں
blames	v.الزام لگانا
subdivided	v.ذیلی تقسیم کرنا
osteopathic	a.ہڈیوں کا
vividly	ad.واضح طور پر
happiest	a.سب سے خوش
countermeasures	n+f.انسدادی تدابیر
lucca	n+f.لوکا
francine	n+f.فرانسین
wildflower	n+m.جنگلی پھول
merino	n+m.مرینو
reserving	v.محفوظ کرنا
nagasaki	n+m.ناگاساکی
stooges	n+m.ٹٹو
jello	n+m.جیلو
indented	a.دندانہ دار
barium	n+m.بیریم
looting	n+f.لوٹ مار@v.لوٹنا
humming	v.گنگنانا@n+f.گنگناہٹ
mauro	n+m.ماورو
disclaim	v.انکار کرنا
shearer	n+m.بال کاٹنے والا
decca	n+f.ڈیکا
hydrophobic	a.پانی سے ڈرنے والا
millard	n+m.ملارڈ
diameters	n+m.قطر
exerted	v.زور لگانا
justifies	v.جواز پیش کرنا
freiburg	n+m.فرائبرگ
returnable	a.واپسی کے قابل
ohs	int.اوہ
resuscitation	n+f.زندہ کرنا
cancelling	v.منسوخ کرنا
stratification	n+f.تہہ بندی
regenerate	v.دوبارہ پیدا کرنا
grumman	n+m.گرمین
titre	n+m.ٹائٹر
tumbler	n+m.گلاس
adagio	n+m.آہستہ موسیقی@ad.آہستہ
sunburst	n+m.دھوپ کی کرن
bonne	a.اچھا
improvised	v.فی الفور بنانا
bela	n+m.بیلا
startups	n+m.نئی کمپنیاں
flocks	n+m.ریوڑ@v.اکٹھا ہونا
ranting	v.چیخنا
bothering	v.پریشان کرنا
garnered	v.اکٹھا کرنا
tonya	n+f.ٹونیا
erupted	v.پھوٹنا
meltdown	n+m.پگھلاؤ
fling	v.پھینکنا@n+m.تفریح
rainwater	n+m.بارش کا پانی
comrade	n+m.ساتھی
ascended	v.چڑھنا
redefining	v.نئی تعریف کرنا
juliette	n+f.جولیٹ
vesicles	n+f.چھالے
piccolo	n+m.پکولو
scalia	n+m.سکالیا
resizing	v.سائز بدلنا
porcupine	n+m.سیہی
showrooms	n+m.شو روم
verifiable	a.قابل تصدیق
chopping	v.کاٹنا
lobo	n+m.لوبو
enacting	v.نافذ کرنا
havens	n+f.پناہ گاہیں
bacterium	n+m.جرثومہ
sideline	n+f.حاشیہ@v.ایک طرف کرنا
stabbing	n+f.چھرا مارنا@v.چھرا مارنا
metamorphosis	n+f.کایا پلٹ
bushing	n+m.بشنگ
ligament	n+m.پٹھا
translocation	n+f.جگہ بدلنا
costco	n+m.کوسٹکو
serialization	n+f.سلسلہ وار بنانا
playgrounds	n+m.کھیل کے میدان
hilda	n+f.ہلڈا
wanderer	n+m.آوارہ
flattened	v.چپٹا کرنا
zips	n+f.زپیں@v.زپ بند کرنا
dawkins	n+m.ڈاکنز
spitting	v.تھوکنا
eigenvalue	n+m.مقداری قدر
inconvenient	a.تکلیف دہ
seacoast	n+m.ساحل سمندر
conductance	n+f.چالکیت
imperfections	n+f.خامیاں
lewes	n+m.لیوز
chancery	n+f.عدالت انصاف
albemarle	n+m.البیمارل
raving	a.دیوانہ@v.بڑبڑانا
explodes	v.پھٹنا
lindy	n+f.لنڈی
coimbatore	n+m.کوئمبتور
panzer	n+m.ٹینک
keri	n+f.کیری
soviets	n+m.سوویت
tweeter	n+m.ٹویٹر
executor	n+m.وصی
poncho	n+m.پونچو
anglesey	n+m.اینگلسی
choirs	n+m.گانے والے
faerie	n+f.پری
stinger	n+m.ڈنک
wreaths	n+f.پھولوں کے ہار
collapsing	v.گرنا
tasteless	a.بے ذائقہ
tomahawk	n+m.کلہاڑی
tact	n+m.سلیقہ
instructive	a.معلوماتی
absorbs	v.جذب کرنا
susannah	n+f.سوزانا
mathematically	ad.ریاضی کے لحاظ سے
godwin	n+m.گوڈون
kuwaiti	n+m.کویتی@a.کویتی
drier	n+m.سکھانے والا@a.زیادہ خشک
duplicators	n+m.نقل کرنے والے
bothers	v.پریشان کرنا
parades	n+f.پریڈ@v.پریڈ کرنا
cubicle	n+m.چھوٹا کمرہ
winfrey	n+m.ونفری
shoved	v.دھکیلنا
invokes	v.طلب کرنا
papaya	n+m.پپیتا
cannons	n+f.توپیں
auger	n+m.برما
mongoose	n+m.نیولا
instrumentals	n+m.آلاتی موسیقی
iconic	a.علامتی
chromatic	a.رنگین
rife	a.پھیلا ہوا
mahler	n+m.ماہلر
rallying	v.اکٹھا کرنا
auschwitz	n+m.آشوٹز
gambit	n+m.چال
enoch	n+m.ایناک
carriages	n+f.گاڑیاں
dales	n+f.وادیاں
polled	v.رائے لینا
agnostic	n+m.ادریہ پسند@a.لاادری
emptied	v.خالی کرنا
denounced	v.مذمت کرنا
delusion	n+f.فریب
fredrick	n+m.فریڈرک
rimini	n+m.ریمینی
jogger	n+m.جاگر
occlusion	n+f.بند ہونا
verity	n+f.سچائی
turret	n+m.برج
reinvestment	n+m.دوبارہ سرمایہ کاری
chatterbox	n+m.باتونی
neutrons	n+m.نیوٹران
precede	v.پہلے آنا
silo	n+m.گودام
huts	n+f.جھونپڑیاں
polystyrene	n+m.پولی سٹائرین
amon	n+m.آمون
jodhpur	n+m.جودھ پور
intelligencer	n+m.جاسوس
molokai	n+m.مولوکائی
pluralism	n+m.کثرت پرستی
domes	n+m.گنبد
tetanus	n+m.تشنج
neuromuscular	a.عصبی پٹھا
multifamily	a.کثیر خاندانی
eras	n+f.ادوار
coors	n+m.کورز
execs	n+m.ایگزیکٹوز
hiker	n+m.پیدل چلنے والا
manuf	n+m.صنعت کار
strategist	n+m.حکمت عملی ساز
wildest	a.سب سے جنگلی
outlays	n+m.اخراجات
zloty	n+m.زلوٹی
foodstuffs	n+m.خوراک
wessex	n+m.ویسیکس
osmosis	n+f.سرایت
priming	v.تیار کرنا@n+f.ابتدائی
vowels	n+m.حروف علت
mojave	n+m.موہاوی
sulphate	n+m.سلفیٹ
soothe	v.تسلی دینا
advancements	n+f.ترقی
franck	n+m.فرینک
bock	n+m.بوک
clandestine	a.خفیہ
migrations	n+f.ہجرت
hovering	v.منڈلانا
leary	n+m.لیری
slurry	n+f.گارا
tamper	v.چھیڑ چھاڑ کرنا
pugh	n+m.پیو
soulmates	n+m.ہم روح
marissa	n+f.میریسا
beretta	n+f.بیریٹا
punishments	n+f.سزائیں
chiropractor	n+m.چھیڑو پریکٹر
vibrational	a.ارتعاشی
heathen	n+m.کافر@a.مشرک
obsidian	n+m.آتشی شیشہ
unduly	ad.حد سے زیادہ
dressers	n+m.میز
winger	n+m.ونگر
endeavours	n+f.کوششیں@v.کوشش کرنا
