the	art.ال
minced	a.مفروم@v.فرم
antalya	n+f.أنطاليا
harmonious	a.متناغم@a.منسجم
westerly	a.غربي@ad.غرباً
modernisation	n+f.تحديث
despatched	v.أرسل@v.بعث
munitions	n+f.ذخائر
symmetrical	a.متماثل@a.متناظر
daley	n+m.دالي
modality	n+f.طريقة@n+m.نمط
liberalisation	n+f.تحرير
ornate	a.مزخرف@a.مزين
utilise	v.يستخدم@v.يستغل
midwife	n+f.قابلة
arturo	n+m.أرتورو
appellee	n+m.مستأنف ضده
granules	n+f.حبيبات
uniformed	a.يرتدي زياً رسمياً
multidimensional	a.متعدد الأبعاد
snug	a.مريح@a.دافئ
homegrown	a.محلي@a.منتج محلياً
reinforces	v.يعزز@v.يقوي
coveted	a.مرغوب@v.اشتهى
dirham	n+m.درهم
prohibitions	n+f.محظورات
esophageal	a.مريئي
moulded	a.مصبوب@v.صب
deceived	v.خدع@a.مخدوع
convict	n+m.محكوم عليه@v.يدين
approximations	n+f.تقريبات
intermediates	n+f.وسائط@a.وسيط
albumin	n+m.ألبومين
grantees	n+m.متلقو منح
tossing	v.يرمي@n+m.رمي
regularity	n+f.انتظام
criticised	v.انتقد@a.منتقد
lawfully	ad.قانونياً@ad.شرعياً
paramedic	n+m.مسعف
trademarked	a.مسجل كعلامة تجارية
goethe	n+m.غوته
stressing	v.يشدد على@n+m.تشديد
potable	a.صالح للشرب
limpopo	n+m.ليمبوبو
intensities	n+f.شدات
oncogene	n+m.جين ورمي
dumas	n+m.دوما
antidepressant	n+m.مضاد اكتئاب@a.مضاد للاكتئاب
jester	n+m.مهرج
notifies	v.يخطر@v.يبلغ
recount	v.يعيد فرز@n+f.إعادة فرز
ballpark	n+m.ملعب كرة قاعدة@a.تقريبي
powys	n+m.بويس
orca	n+f.حوت قاتل
mascara	n+f.ماسكارا
proline	n+m.برولين
dearest	a.أعز@n+m.عزيزي
molina	n+m.مولينا
nook	n+f.زاوية@n+m.ركن
wipers	n+f.مساحات
snoopy	n+m.سنوبي@a.فضولي
commensurate	a.متناسب@a.مكافئ
schiller	n+m.شيلر
bowler	n+m.رامي كريكيت@n+f.قبعة صلبة
unleash	v.يطلق@v.يحرر
captioned	a.معنون@v.عنون
wiser	a.أحكم@a.أعقل
gallant	a.شجاع@a.نبيل
summarizing	v.يلخص@n+m.تلخيص
disbelief	n+m.عدم تصديق
gleason	n+m.غليسون
baritone	n+m.باريتون
unqualified	a.غير مؤهل@a.مطلق
cautioned	v.حذر@v.نبه
recollection	n+f.ذكرى@n+m.تذكر
chlamydia	n+f.كلاميديا
relativistic	a.نسبي
rotors	n+m.دوارات
bagels	n+f.كعك محلى
locomotives	n+f.قاطرات
condemns	v.يدين@v.يستنكر
fastening	n+m.ربط@v.يربط
subliminal	a.لا شعوري@a.تحت العتبة
insecticide	n+m.مبيد حشري
nuremberg	n+f.نورمبرغ
ostrich	n+f.نعامة
maud	n+f.مود
spline	n+f.شريحة@n+m.محزز
undisclosed	a.غير معلن
flirting	v.يغازل@n+f.مغازلة
letterman	n+m.ليترمان
misplaced	a.في غير محله@v.أضاع
prosecutions	n+f.ملاحقات قضائية
dido	n+f.ديدو
poisoned	a.مسموم@v.سمم
researches	v.يبحث@n+f.أبحاث
malayalam	n+f.لغة مالايالام
chou	n+m.شو
discriminating	a.مميز@v.يميز
loo	n+m.مرحاض
pallets	n+f.منصات نقالة
exclamation	n+f.تعجب@n+f.صيحة
terrence	n+m.تيرينس
intercepted	v.اعترض@a.معترض
ascendant	a.صاعد@n+m.طالع
flung	v.قذف@v.رمى
gateshead	n+m.غيتسهيد
probationary	a.تجريبي@a.اختباري
abducted	v.اختطف@a.مختطف
warlock	n+m.ساحر
breakup	n+m.انفصال@n+f.نهاية
clovis	n+m.كلوفيس
fiche	n+f.بطاقة مصغرة
juror	n+m.محلف
goggle	n+f.نظارة واقية@v.يحدق
railing	n+m.درابزين@n+f.حاجز
metabolites	n+f.مستقلبات
cremation	n+m.حرق الجثث
brainstorm	v.يعصف ذهنياً@n+f.عصف ذهني
banter	n+m.مزاح@v.يمازح
balconies	n+f.شرفات
awaken	v.يوقظ@v.يستيقظ
chirac	n+m.شيراك
pigeons	n+m.حمام
coffeehouse	n+m.مقهى
singularity	n+f.تفرد@n+f.فرادة
signify	v.يدل على@v.يعني
granddaughter	n+f.حفيدة
trolling	v.يصطاد@n+m.تصيد
subdirectory	n+m.دليل فرعي
bancroft	n+m.بانكروفت
progeny	n+m.ذرية@n+f.نسل
grads	n+m.خريجون
alters	v.يغير@v.يبدل
kayla	n+f.كايلا
gratefully	ad.بامتنان
divergent	a.متباين@a.متباعد
fleets	n+f.أساطيل
dorian	n+m.دوريان
libido	n+f.رغبة جنسية
fuselage	n+m.جسم الطائرة
diabetics	n+m.مرضى السكري
tackled	v.تناول@v.عالج
ballerina	n+f.راقصة باليه
shoals	n+f.مياه ضحلة@n+m.أسراب
tributary	n+m.رافد@a.تابع
clique	n+f.شلة@n+f.زمرة
rosy	a.وردي@a.متفائل
redheads	n+m.ذوو الشعر الأحمر
diam	n+m.قطر
satanic	a.شيطاني
ragnarok	n+f.راغناروك
summarised	v.لخص@a.ملخص
torment	n+m.عذاب@v.يعذب
mussels	n+m.بلح البحر
caitlin	n+f.كيتلين
emigration	n+f.هجرة
conscientious	a.ضميري@a.واعي
howl	v.يعوي@n+f.عواء
hobs	n+f.مواقد
eft	n+m.سمندل
endometriosis	n+f.بطانة الرحم المهاجرة
cushioning	n+m.توسيد@v.يوسد
mcneil	n+m.ماكنيل
ecclesiastical	a.كنسي
crippled	a.مشلول@v.شل
belvedere	n+m.شرفة مطلة
hilltop	n+f.قمة تل
tabor	n+m.تابور
tenet	n+m.مبدأ@n+f.عقيدة
acetyl	n+m.أسيتيل
boomer	n+m.مولود طفرة
fifteenth	a.خامس عشر@n+m.الخامس عشر
chute	n+f.مزلقة@n+m.منحدر
perinatal	a.حول الولادة
multichannel	a.متعدد القنوات
bohemia	n+f.بوهيميا
daredevil	n+m.متهور@a.جريء
mountainous	a.جبلي
mcgowan	n+m.ماكغوان
ogre	n+m.غول
unforeseen	a.غير متوقع
pickles	n+f.مخللات
submissive	a.خاضع@a.مطيع
curses	n+f.لعنات@v.يلعن
mulch	n+m.غطاء عضوي@v.يغطي
stampede	n+f.تدافع@v.يتدافع
utilised	v.استخدم@a.مستخدم
trieste	n+f.ترييستي
marinas	n+f.مراسي
whine	v.يتذمر@n+f.أنين
streptococcus	n+m.مكورات عقدية
nus	n+m.اتحاد طلاب
murcia	n+f.مورسيا
landfills	n+f.مدافن نفايات
mcknight	n+m.ماكنايت
fatality	n+f.وفاة@n+m.قدرية
baud	n+m.بود
mcfarland	n+m.ماكفارلاند
looming	v.يلوح@a.وشيك
undies	n+f.ملابس داخلية
prepay	v.يدفع مقدماً
sped	v.أسرع@v.انطلق
kodiak	n+m.كودياك
printout	n+f.مطبوعة@n+m.إخراج مطبوع
nonresident	a.غير مقيم@n+m.غير مقيم
dorsey	n+m.دورسي
ankles	n+m.كاحلان
roo	n+m.كنغر
soulful	a.معبر@a.روحاني
mosques	n+m.مساجد
fouls	n+f.أخطاء@v.يرتكب خطأ
fuchs	n+m.فوكس
guerilla	n+m.حرب عصابات@a.عصابي
squeezing	v.يعصر@n+m.عصر
fisk	n+m.فيسك
canes	n+f.عصي
serendipity	n+f.صدفة سعيدة
follower	n+m.تابع@n+m.متابع
euler	n+m.أويلر
sequentially	ad.تسلسلياً
yogi	n+m.يوغي
landslide	n+m.انهيار أرضي@n+f.أغلبية ساحقة
alumina	n+f.ألومينا
degenerate	v.يتدهور@a.منحط
spiked	a.مسنن@v.رفع
evolves	v.يتطور@v.ينشأ
cru	n+m.كرم عنب
misrepresentation	n+f.تحريف@n+m.تمثيل خاطئ
iberia	n+f.إيبيريا
duffel	n+f.حقيبة قماشية
goodrich	n+m.غودريتش
strung	v.نظم@a.موتر
subfamily	n+f.فصيلة فرعية
chanting	v.يردد@n+m.ترديد
wrestler	n+m.مصارع
perennials	n+f.نباتات معمرة
officiating	v.يترأس@n+m.ترؤس
hermit	n+m.ناسك
behaving	v.يتصرف@n+m.سلوك
colbert	n+m.كولبير
matchmaker	n+m.خاطبة@n+m.وسيط زواج
sagittarius	n+m.القوس
locates	v.يحدد موقع@v.يجد
dysfunctional	a.مختل وظيفياً
maastricht	n+f.ماستريخت
bulletproof	a.مقاوم للرصاص
josiah	n+m.يوشيا
deepen	v.يعمق@v.يتعمق
stenosis	n+m.تضيق
chg	n+m.تغيير
acadia	n+f.أكاديا
pats	v.يربت@n+f.ربتات
abrasion	n+m.كشط@n+f.سحجة
valentin	n+m.فالنتين
eindhoven	n+m.آيندهوفن
mora	n+f.مورا
enrico	n+m.إنريكو
reciprocity	n+f.تبادلية@n+m.تبادل
opportunistic	a.انتهازي
analogs	n+f.نظائر@n+m.مماثلات
crease	n+f.تجعيدة@v.يجعد
cantor	n+m.منشد@n+m.كانتور
wis	n+f.ويسكونسن
econometric	a.اقتصادي قياسي
bartholomew	n+m.برثولماوس
ringers	n+m.رنانون@n+f.أجراس
diced	a.مقطع مكعبات@v.قطع
fairgrounds	n+f.أرض معارض
perseverance	n+f.مثابرة@n+m.إصرار
cartons	n+f.علب كرتونية
mustangs	n+m.خيول برية
enc	n+m.مرفق
catalonia	n+f.كتالونيا
pharmacological	a.دوائي
paediatric	a.طب أطفال
genitals	n+f.أعضاء تناسلية
hendricks	n+m.هندريكس
judi	n+f.جودي
yorktown	n+m.يوركتاون
impede	v.يعيق@v.يعرقل
academically	ad.أكاديمياً
clasps	n+f.مشابك@v.يمسك
tilted	a.مائل@v.أمال
vicar	n+m.قسيس
confines	n+f.حدود@v.يحصر
fulbright	n+m.فولبرايت
prank	n+f.مقلب@n+f.مزحة
repent	v.يتوب@v.يندم
agreeable	a.موافق@a.لطيف
centrum	n+m.سنتروم
kinks	n+f.تجعيدات@n+f.عيوب
riddles	n+f.ألغاز
preschools	n+f.حضانات
bennington	n+m.بينينغتون
mcallen	n+m.ماكالن
pulpit	n+m.منبر
appreciates	v.يقدر@v.يرتفع
contoured	a.محدد الملامح@v.رسم الخطوط
schenectady	n+f.سكينيكتادي
marshes	n+f.مستنقعات
schematics	n+f.مخططات
bellies	n+f.بطون
corrosive	a.آكل@a.تآكلي
ambush	n+m.كمين@v.يكمن
interfacing	n+f.واجهة@v.يتواصل
borrowings	n+f.اقتراضات
palazzo	n+m.قصر
franciscan	a.فرنسيسكاني@n+m.فرنسيسكاني
heparin	n+m.هيبارين
figurative	a.مجازي@a.استعاري
gait	n+f.مشية
emphasised	v.شدد@v.أكد
connective	a.رابط@n+m.نسيج ضام
bonfire	n+f.نار كبيرة
aversion	n+f.نفور@n+m.كره
nihon	n+f.اليابان
adkins	n+m.أدكينز
dunlap	n+m.دنلاب
vicente	n+m.فيسينتي
biophysics	n+f.فيزياء حيوية
chromatin	n+m.كروماتين
mathis	n+m.ماثيس
roxanne	n+f.روكسان
stiles	n+m.ستايلز
stewards	n+m.مضيفون@n+m.وكلاء
chauffeur	n+m.سائق خاص
wasteland	n+f.أرض قاحلة
elicit	v.يستخرج@v.يستدر
plotter	n+m.راسمة@n+m.متآمر
henrietta	n+f.هنريتا
slapped	v.صفع@a.مصفوع
bitten	v.عض@a.معضوض
meek	a.وديع@a.متواضع
lind	n+m.ليند
doodle	v.يخربش@n+f.خربشة
arb	n+m.مراجح
wabash	n+m.واباش
salamanca	n+f.سلامنكا
dynamo	n+m.مولد@n+f.دينامو
chronologically	ad.زمنياً
whitfield	n+m.ويتفيلد
stow	v.يخزن@v.يخبئ
eide	n+m.إيدي
dusseldorf	n+f.دوسلدورف
summon	v.يستدعي@v.يحضر
skeletons	n+f.هياكل عظمية
shabbat	n+m.السبت
parchment	n+m.رق@n+f.ورق جلدي
accommodates	v.يستوعب@v.يوفر
lingua	n+f.لغة
stacker	n+m.مكدس
distractions	n+f.مشتتات
forfeit	v.يخسر@n+f.غرامة
paddles	n+f.مجاديف@v.يجدف
unpopular	a.غير شعبي
republics	n+f.جمهوريات
touchdowns	n+f.هبوطات@n+m.تسجيلات
plasmas	n+f.بلازما
inspecting	v.يفتش@n+m.تفتيش
retainer	n+m.مثبت@n+f.أتعاب مقدمة
hardening	n+m.تصلب@v.يتصلب
barbell	n+m.بار حديدي
loosen	v.يرخي@v.يفك
bibs	n+f.مرايل
beowulf	n+m.بيوولف
sneaky	a.متسلل@a.ماكر
undiscovered	a.غير مكتشف
smarts	n+f.ذكاء@v.يؤلم
lankan	a.سريلانكي
imputed	v.نسب@a.منسوب
alignments	n+f.محاذاة@n+m.انحيازات
cabs	n+f.سيارات أجرة
coached	v.درب@a.مدرب
cheated	v.غش@a.مغشوش
restroom	n+m.حمام@n+f.دورة مياه
spatially	ad.مكانياً
willows	n+m.صفصاف
hump	n+m.حدبة@v.يحدب
delft	n+m.دلفت
marginally	ad.هامشياً@ad.بالكاد
communicative	a.تواصلي@a.ثرثار
grieving	v.يحزن@n+m.حداد
grunge	n+m.غرانج
chastity	n+f.عفة
invoicing	n+f.فوترة@v.يفوتر
carney	n+m.كارني
flipped	v.قلب@a.مقلوب
cabrera	n+m.كابريرا
faust	n+m.فاوست
fright	n+m.خوف@n+f.رعب
adorned	a.مزين@v.زين
obnoxious	a.بغيض@a.مزعج
mindy	n+f.ميندي
diligently	ad.باجتهاد
surfaced	v.ظهر@a.ظاهر
decays	v.يتحلل@n+f.تحللات
glam	a.بريق@n+m.سحر
cowgirl	n+f.راعية بقر
mortimer	n+m.مورتيمر
marvellous	a.رائع@a.عجيب
easing	v.يخفف@n+m.تخفيف
layoffs	n+f.تسريحات
picket	n+m.وتد@v.يعتصم
matures	v.ينضج@a.ناضج
thrones	n+m.عروش
emilia	n+f.إميليا
eyre	n+m.آير
maturing	v.ينضج@a.ناضج
margarine	n+f.سمن نباتي
illogical	a.غير منطقي
awakened	v.استيقظ@a.مستيقظ
beet	n+m.بنجر
suing	v.يقاضي@n+f.مقاضاة
brine	n+m.ماء مالح@n+f.محلول ملحي
lorna	n+f.لورنا
sneaker	n+f.حذاء رياضي
waning	v.يتضاءل@a.متضائل
cartwright	n+m.كارترايت
glycoprotein	n+m.بروتين سكري
armoire	n+f.خزانة ملابس
queued	v.انتظر في طابور@a.مصطف
sab	n+m.تخريب
hydroxide	n+m.هيدروكسيد
piled	v.كدس@a.مكدس
cellulite	n+m.سيلوليت
twinkle	v.يتلألأ@n+f.تلألؤ
mcqueen	n+m.ماكوين
lodgings	n+f.مساكن
fluff	n+m.زغب@v.ينفش
shifter	n+m.محول@n+f.ناقل سرعات
maitland	n+m.ميتلاند
cartography	n+f.رسم الخرائط
supple	a.مرن@a.طيع
vito	n+m.فيتو
geld	v.يخصي@n+m.مال
predicates	n+f.محمولات@v.يبني
unfit	a.غير لائق@a.غير صالح
uttered	v.نطق@v.تلفظ
douay	n+m.دواي
rumanian	a.روماني@n+m.روماني
zeitgeist	n+m.روح العصر
nickelodeon	n+m.نيكلوديون
tending	v.يميل@v.يعتني
shaggy	a.أشعث@a.كثيف الشعر
elongated	a.ممدود@v.مدد
ordeal	n+f.محنة@n+m.ابتلاء
pegs	n+f.أوتاد@v.يثبت
astronomer	n+m.فلكي
hernia	n+m.فتق
incompetence	n+f.عدم كفاءة
stabilizing	v.يثبت@a.مثبت
anil	n+m.أنيل
flicker	v.يرتعش@n+f.وميض
ramsay	n+m.رامزي
midsize	a.متوسط الحجم
relieving	v.يخفف@a.مريح
pullover	n+m.بلوفر
towering	a.شاهق@a.طاغي
operas	n+f.أوبرات
slaughtered	v.ذبح@a.مذبوح
hoodwinked	v.خدع@a.مخدوع
assaulted	v.اعتدى@a.معتدى عليه
rouse	v.يوقظ@v.يثير
appel	n+m.أبيل
yucca	n+f.يوكا
armand	n+m.أرماند
harvester	n+m.حاصد@n+f.آلة حصاد
emmett	n+m.إيميت
spiel	n+m.خطاب@v.يتحدث
shay	n+m.شاي
impurities	n+f.شوائب
stemming	v.ينبع@n+m.اشتقاق
inscriptions	n+f.نقوش@n+f.كتابات
obstructive	a.معرقل@a.انسدادي
hos	n+m.منازل
tentatively	ad.مبدئياً@ad.بتردد
tragedies	n+f.مآسي
interlude	n+f.فترة استراحة@n+m.فاصل
oates	n+m.أوتس
retroactive	a.بأثر رجعي
briefed	v.أطلع@a.مطلع
dialects	n+f.لهجات
vas	n+m.قناة
ovid	n+m.أوفيد
carcass	n+f.جثة@n+m.هيكل
kermit	n+m.كيرميت
gizmo	n+m.جهاز@n+f.أداة
atherosclerosis	n+m.تصلب الشرايين
casually	ad.بشكل عرضي@ad.ببساطة
scamp	n+m.مشاغب@v.يتسرع
demography	n+f.ديموغرافيا
freedman	n+m.فريدمان
migraines	n+f.صداع نصفي
newborns	n+m.مواليد جدد
ljubljana	n+f.ليوبليانا
restarted	v.أعاد التشغيل@a.معاد تشغيله
reprise	n+f.إعادة@v.يعيد
meow	n+f.مواء@v.يموء
kilograms	n+m.كيلوغرامات
zig	v.يتعرج@n+m.تعرج
packager	n+m.معبئ
populate	v.يملأ@v.يسكن
lash	n+f.رمش@v.يجلد
ills	n+f.أمراض@n+f.مشاكل
arcane	a.غامض@a.سري
impractical	a.غير عملي
danes	n+m.دنماركيون
decentralization	n+f.لامركزية
honeymoons	n+f.شهور عسل
authoritarian	a.استبدادي@n+m.مستبد
judaica	n+f.يهوديات
tropicana	n+f.تروبيكانا
cardholder	n+m.حامل بطاقة
peavey	n+m.بيفي
pebbles	n+f.حصى
geocaching	n+m.بحث جغرافي
quicksilver	n+m.زئبق@a.متقلب
sacked	v.طرد@a.مطرود
omen	n+f.فأل@n+f.نذير
effortlessly	ad.بسهولة@ad.بلا جهد
forfeited	v.خسر@a.مصادر
cysts	n+f.أكياس
primetime	n+m.وقت الذروة@a.رئيسي
penney	n+m.بيني
stipend	n+m.راتب@n+f.منحة
conceptions	n+f.تصورات@n+f.مفاهيم
snorkel	n+m.أنبوب تنفس@v.يغطس
amin	n+m.أمين
lii	n+m.الثاني والخمسون
iridium	n+m.إيريديوم
conserving	v.يحافظ@n+m.حفظ
toppers	n+f.قمم@n+m.متفوقون
amulet	n+f.تميمة
informally	ad.بشكل غير رسمي
alternator	n+m.مولد تيار متناوب
underwriter	n+m.ضامن
panhandle	n+m.مقبض@v.يتسول
sarcastic	a.ساخر@a.تهكمي
joann	n+f.جوان
indemnification	n+f.تعويض
hawke	n+m.هوك
borden	n+m.بوردن
bombed	v.قصف@a.مقصوف
complexion	n+f.بشرة@n+m.لون البشرة
daisies	n+f.أقحوان
informant	n+m.مخبر
sorrows	n+f.أحزان
guaranteeing	v.يضمن@n+m.ضمان
aegean	a.إيجي@n+m.بحر إيجه
boobies	n+f.طيور بحرية
nadine	n+f.نادين
sluggish	a.بطيء@a.خامل
helms	n+f.خوذات@v.يقود
brig	n+m.سجن سفينة@n+f.سفينة صغيرة
sherpa	n+m.شيربا
tuff	n+m.طوف بركاني
coy	a.خجول@a.متحفظ
ligands	n+m.روابط
smalltalk	n+m.سمول توك
sorghum	n+m.ذرة رفيعة
grouse	n+m.طائر الطيهوج@v.يتذمر
nucleotides	n+f.نيوكليوتيدات
reginald	n+m.ريجينالد
pasted	v.لصق@a.ملصوق
moths	n+f.عثات
enhancers	n+m.معززات
collaborated	v.تعاون@a.متعاون
lila	n+f.ليلا
batavia	n+f.باتافيا
evoke	v.يستحضر@v.يثير
slotted	a.مشقوق@v.شق
fila	n+f.فيلا
decking	n+m.تغطية@n+f.أرضية خشبية
dispositions	n+f.ترتيبات@n+f.طباع
haywood	n+m.هايوود
boz	n+m.بوز
accelerators	n+f.مسرعات
nit	n+f.صئبان@n+m.نقد تافه
amorphous	a.غير متبلور@a.بلا شكل
neighbourhoods	n+f.أحياء
tributaries	n+m.روافد
townships	n+f.بلدات
hideaway	n+m.مخبأ@n+f.ملاذ
dwayne	n+m.دواين
coda	n+f.خاتمة@n+m.ذيل
nantes	n+f.نانت
cyanide	n+m.سيانيد
assam	n+m.آسام
mousse	n+f.موس
provenance	n+f.مصدر@n+m.أصل
sra	n+f.وكالة
shameful	a.مخجل@a.معيب
chiffon	n+m.شيفون
fanfare	n+f.ضجة@n+m.احتفاء
mapper	n+m.راسم خرائط
dystrophy	n+m.ضمور
archaic	a.قديم@a.عتيق
elevate	v.يرفع@v.يعلي
deafness	n+m.صمم
footballs	n+f.كرات قدم
bathurst	n+m.باثيرست
duracell	n+m.ديوراسيل
laureate	n+m.فائز بجائزة@a.متوج
contemporaries	n+m.معاصرون
syphilis	n+m.زهري
vigilance	n+f.يقظة@n+m.حذر
appalling	a.مريع@a.فظيع
palmyra	n+f.تدمر
foxes	n+m.ثعالب
affixed	v.ألصق@a.ملصق
ticking	v.يدق@n+m.دقات
pantheon	n+m.بانثيون@n+m.مجمع الآلهة
gully	n+m.شق@n+f.قناة
epithelium	n+m.نسيج طلائي
bitterness	n+f.مرارة
brill	n+m.سمك موسى
defy	v.يتحدى@v.يعصي
webbing	n+m.شريط منسوج
consumes	v.يستهلك
lovingly	ad.بمحبة@ad.بحنان
thrush	n+m.سقلاع@n+m.شحرور
bribery	n+f.رشوة
emusic	n+m.موسيقى إلكترونية
smokes	v.يدخن@n+m.دخان
glencoe	n+m.غلينكو
untested	a.غير مختبر
ventilated	a.مهوى@v.هوى
overviews	n+f.نظرات عامة
kettles	n+f.غلايات
ascend	v.يصعد@v.يرتقي
flinders	n+m.فلندرز
hearst	n+m.هيرست
verifies	v.يتحقق@v.يؤكد
reverb	n+m.صدى
commuters	n+m.ركاب يوميون
nutmeg	n+m.جوزة الطيب
crit	n+f.انتقاد@n+m.ضربة حرجة
chained	a.مقيد@v.قيد
magnify	v.يكبر@v.يضخم
gauss	n+m.غاوس
precautionary	a.احترازي@a.وقائي
artistry	n+f.براعة فنية
travail	n+m.معاناة@v.يكدح
fiddler	n+m.عازف كمان
falkirk	n+m.فالكيرك
wholesome	a.صحي@a.مفيد
pitts	n+m.بيتس
wrists	n+m.معصمان
severed	v.قطع@a.مقطوع
mites	n+f.سوسات
rubric	n+m.عنوان@n+f.قاعدة
headlamp	n+m.مصباح أمامي
operand	n+m.معامل
puddle	n+f.بركة صغيرة
azores	n+f.الأزور
kristi	n+f.كريستي
vegetative	a.نباتي@a.خضري
agora	n+f.أغورا@n+f.ساحة عامة
macho	a.ذكوري@n+m.رجل متباهي
sob	v.ينتحب@n+f.نحيب
elaborated	v.فصل@a.مفصل
reeve	n+m.عمدة@n+m.ريف
embellishments	n+f.زخارف@n+f.تزيينات
grandeur	n+f.عظمة@n+m.فخامة
plough	n+m.محراث@v.يحرث
staphylococcus	n+f.مكورات عنقودية
mansions	n+f.قصور
busting	v.يكسر@n+m.كسر
macpherson	n+m.ماكفيرسون
overheard	v.سمع بالصدفة@a.مسموع
sloane	n+m.سلون
wooster	n+m.ووستر
persisted	v.استمر@v.أصر
nilsson	n+m.نيلسون
whereabouts	n+m.مكان@ad.أين
haydn	n+m.هايدن
symphonies	n+f.سيمفونيات
reclining	a.مائل@v.يستلقي
smelly	a.كريه الرائحة
rodrigo	n+m.رودريغو
bounding	v.يقفز@a.محدود
hangar	n+m.حظيرة طائرات
ephemera	n+f.أشياء زائلة
annexed	v.ضم@a.ملحق
atheists	n+m.ملحدون
umpire	n+m.حكم
testicular	a.خصوي
orthodoxy	n+f.أرثوذكسية
kilt	n+f.تنورة اسكتلندية
doubtless	ad.بلا شك
wearable	a.قابل للارتداء
carling	n+m.كارلينغ
buildup	n+m.تراكم@n+f.تصاعد
weaponry	n+f.أسلحة
keyed	a.ذو مفاتيح@v.أدخل
esquire	n+m.سيد
cryptic	a.غامض@a.مشفر
primus	n+m.بريموس
landline	n+m.هاتف أرضي
wherefore	ad.لماذا@conj.لذلك
entrees	n+f.أطباق رئيسية
corpora	n+f.مجاميع نصية
priv	a.خاص
cholera	n+f.كوليرا
antiviral	a.مضاد للفيروسات@n+m.مضاد فيروسي
midsummer	n+m.منتصف الصيف
colouring	n+m.تلوين@v.يلون
lodi	n+m.لودي
intoxicated	a.ثمل@v.أسكر
minimalist	a.بسيط@n+m.مبسط
mysore	n+m.ميسور
jerks	n+m.أغبياء@v.يهز
wolverines	n+m.ولفرينات
protagonist	n+m.بطل@n+m.مؤيد
mise	n+f.وضع
darius	n+m.داريوس
bullion	n+m.سبيكة
deflection	n+m.انحراف@n+f.انعطاف
hateful	a.بغيض@a.كريه
rata	n+f.راتا
propensity	n+f.ميل@n+m.نزوع
freephone	n+m.هاتف مجاني
journalistic	a.صحفي
essences	n+f.جواهر@n+f.خلاصات
kingfisher	n+m.صياد السمك
moline	n+m.مولين
takers	n+m.آخذون
dispensed	v.وزع@a.موزع
procter	n+m.بروكتر
walleye	n+m.سمك الفرخ
lemons	n+m.ليمون
bagel	n+m.خبز محلى
stratum	n+f.طبقة
vendetta	n+f.ثأر
wicklow	n+m.ويكلو
felicia	n+f.فيليسيا
restrain	v.يكبح@v.يقيد
clutches	n+f.قابضات@v.يمسك
lettings	n+f.تأجيرات
walkway	n+m.ممر
cults	n+f.طوائف@n+f.عبادات
whit	n+f.ذرة@n+m.شيء صغير
coos	v.يهدل@n+m.هديل
amaze	v.يدهش@v.يذهل
petrochemical	a.بتروكيماوي@n+m.بتروكيماويات
manassas	n+m.ماناساس
rembrandt	n+m.رامبرانت
easel	n+m.حامل لوحات
carer	n+m.راعي@n+f.ممرضة
humankind	n+f.بشرية
potion	n+f.جرعة
ovation	n+f.تصفيق حار
paddock	n+m.حظيرة@n+f.مرعى
inverters	n+m.عاكسات
numerals	n+f.أرقام
surpassed	v.تجاوز@v.فاق
vino	n+m.نبيذ
gable	n+m.جملون@n+m.غيبل
johnnie	n+m.جوني
mccormack	n+m.ماكورماك
thirteenth	a.ثالث عشر@n+m.الثالث عشر
laced	a.مربوط@v.ربط
faceplates	n+f.ألواح أمامية
yeats	n+m.ييتس
quill	n+f.ريشة@n+m.قلم ريشة
zucchini	n+m.كوسا
mares	n+f.أفراس
enthusiastically	ad.بحماس
fetching	a.جذاب@v.يجلب
chaps	n+m.رجال@n+f.حماية ساق
lanai	n+f.شرفة
tendon	n+m.وتر
chiral	a.لولبي@a.كيرالي
fermi	n+m.فيرمي
newsreader	n+m.مذيع أخبار
bellows	n+m.منفاخ
multiculturalism	n+f.تعددية ثقافية
keats	n+m.كيتس
cuddly	a.محبوب@a.ناعم
deceit	n+m.خداع@n+f.حيلة
unmarked	a.غير موسوم
joyous	a.مبتهج@a.سعيد
boswell	n+m.بوزويل
venting	v.يفرغ@n+m.تنفيس
estrada	n+m.إسترادا
pricey	a.غالي الثمن
shekel	n+m.شيكل
infringing	v.ينتهك@a.منتهك
diocesan	a.أبرشي
readout	n+f.قراءة@n+m.إخراج
blythe	n+f.بليث
chisholm	n+m.تشيزهولم
clarifies	v.يوضح
gunner	n+m.مدفعي
dimes	n+m.دايمات
verso	n+m.ظهر الصفحة
samoan	a.ساموي@n+m.ساموي
absorbent	a.ماص@n+m.مادة ماصة
revlon	n+m.ريفلون
grossly	ad.بشكل فادح@ad.بوقاحة
cranky	a.سريع الغضب@a.متذمر
cleft	n+m.شق@a.مشقوق
paparazzi	n+m.مصورون صحفيون
merida	n+f.ميريدا
bambi	n+m.بامبي
interceptor	n+m.معترض
clog	n+f.قبقاب@v.يسد
impoverished	a.فقير@v.أفقر
stabbed	v.طعن@a.مطعون
teaspoons	n+f.ملاعق شاي
banding	n+m.ربط@v.يربط
nonstick	a.غير لاصق
origami	n+m.أوريغامي
yeti	n+m.يتي
comedians	n+m.كوميديون
awnings	n+f.مظلات
umbilical	a.سري
sill	n+f.عتبة@n+m.إطار نافذة
linz	n+f.لينتس
donates	v.يتبرع
foursome	n+m.رباعي@n+f.مجموعة أربعة
