pl.अंगण	n+m.courtyards
धर्मसंबंधी	a.ecclesiastical
धर्मसभा	n+f.synod
धर्मसेविका	n+f.deaconess
धर्मांतरित	n+m.converts
धर्मांध	n+m.bigot
धर्मांधता	n+f.bigotry@n+m.fanaticism
धर्मादाय	a.charitable
धर्मादाय संस्था	n+f.charities
धर्माधिकाऱ्याचे निवासस्थान	n+n.vicarage
धर्मोपदेश	n+f.homily
धर्मोपदेशकपद	n+f.chaplaincy
धवल जल	n+n.whitewater
धष्टपुष्ट	a.beefy
धाकटा	a.younger
धागा	n+n.fibre@n+f.strand@n+m.thread@n+n.yarn
धागा ओवला	v.threaded
धागा लावणे	n+n.threading
धागे	n+f.strands@n+m.threads@n.yarns
धाग्यांचा	a.threaded
धाड	n+f.foray@n+n.raiding@int.wham
धाड टाकणे	vi.foray
धाड टाकली	v.raided
धाडस	n+m.adventures@n+f.audacity@n+f.boldness@n+n.daring@n+f.moxie@n+m.nerve@n+m.pluck@n+m.spunk
धाडस करणे	v.dare@v.venture@vi.ventures
धाडस करत आहे	v.venturing
धाडस करतो	v.dares
धाडस केले	v.durst@v.ventured
धाडस केलेला	vt.dared
धाडसाने	ad.boldly@ad.courageously
धाडसी	a.audacious@a+m.bold@a+f.bold@a+n.bold@a.brave@a.courageous@n+m.daredevil@a.daredevil@a.daring@a.presuming
धातुक	n+n.ore
धातुकाम	n+n.metalworking
धातुके	n.ores
धातुमय	a.metallic
धातुशास्त्र	n+f.metallurgy
धातुशास्त्रीय	a.metallurgical
धातुसाधित	n+m.participle
धातू	n+m.metal@n+m.metals
धातू ओतण्याचे कारखाने	n.foundries
धातू वितळवणे	n+n.smelting
धातूकाम	n+n.metalwork
धातूचा	a.metal@a.metallic
धातूच्या वस्तू	n+n.metalware
धातूमळी	n+f.slag
धान्य	n+n.cereal@n+n.corn@n+n.grain@n+m.grains
धान्याची शेंडी	n+n.awn
धाप	n+f.gasp
धाप लागणे	v.puffing
धापा टाकणे	vi.gasp@v.gasping@vi.pant@v.panting
धापा टाकल्या	v.gasped
धार	n+m.blade@n+f.blades@n+f.edge@n+f.jag
धार लावणे	vt.hone@v.honing@vt.sharpen
धारक	n+m.holder@n+m.holders@n+m.possessor
धारकर्ते	n+m+pl.sharpeners
धारण	n+f.retention
धारण करणे	v.bearing@v.retaining
धारण केलेला	a.borne
धारणा	n+f.assumption@n+f.perception@n+f.perceptions
धारणात्मक	a.capacitive
धारणाधिकार	n+m.lien@n+m.liens
धारदार	a.edged@a.edgy@a.honed@a.sharpened
धारदार केले	v.honed@v.sharpened
धारिता	n+f.capacitance
धार्मिक	a.clerical@a.devout@a.godly@a.pious@a.priestly@a.religious@a.righteous@a.sacred
धार्मिक विधी	n.sacraments
धार्मिक विधींचा	a.liturgical
धार्मिक विधीचा	a.sacramental
धार्मिकता	n+f.piety@n+f.righteousness
धार्मिकपणे	ad.religiously
धाव	n+f.dash@n+f.gallop@n+f.run@n+f.sprint
धावणे	vi.gallop@vi.jog@n+f.jog@n+n.jogging@vi.run@v.rush@v.scurry
धावत	v.running
धावत आहे	v.dashing
धावतो	vi.dashes@v.lopes@v.runs@vi.rushes@v.sprints@vi.streaks
धावपटू	n+m.joggers@n+m.racer@n+m.runner@n+m.runners@n+m.sprinter
धावपट्टी	n+f.airstrip@n+m.runway@n.runways@n+m.rwy@n+f.tarmac
धावपळ	n+f.hustle@n+n.scrambling
धावपळ करत आहे	v.bustling@v.scrambling
धावपळीचा	a.hectic
धावला	v.ran
धावलेला	a.dashed
धावा	n+f.runs@n+m+pl.sprints
धिंगाणा	n+f.romp
धिक्कार	n+m.anathema@int.damn
धिप्पाड	a.strapping
धीट	a.pert@a.sassy@a.saucy
धीर	n+f.patience
धीर दिला	v.reassured
धीर धरणारा	a.patient
धीराने	ad.patiently
धुंद	a.hazy
धुंद करणारा	a.heady
धुंद मेजवानी	n+f.orgy
धुंदी	n+f.spree
धुके	n+n.fog@n+f.haze@n+f.mist@n.mists@n+m.smog
धुके असलेला	a.misty
धुके येते	v.mists
धुक्याचा	a.foggy
धुक्याचा पडदा	n+m.fog
धुक्यातील प्रकाशवलय	n+m.fogdog
धुणे	n+n.rinse@v.wash@vt.washes@n.washes@v.washing
धुतले	v.rinsed@v.washed
धुतलेला	a.washed
धुता येण्यासारखा	a.washable
धुन	n+f.tunes
धुमधडाका	n+f.fanfare
धुमश्चक्री	n+f.scrimmage
धुमसणारा	a.simmering
धुरकट	n+m.mist@a.smoked@a.smokey@a.smoky
धुरा	n+m.axle
धुरांडे	n+m.wisp
धुराडा	n+f.flue
धुरीकरण	n+f.fumigation
धुरे	n+f+pl.spindles
धुलाई	n+f.laundry@n+f.wash@n+f.washing
धुलाई यंत्र	n+f.washer
धुवणे	vt.rinse@v.rinsing
धुवाई	n+n.lavage
धून	n+f.tune
धूप	n+f.erosion
धूमकेतू	n+m.comet@n.comets
धूम्रपान	n+n.smoking@n+m.toke
धूम्रपान करणारा	n+m.smoker
धूम्रपान करणारे	n+m.smokers
धूम्रपान करणे	vi.smoke
धूम्रपान करत	v.smoking
धूम्रपान करतो	vi.smokes
धूम्रपान न करणे	n+n.nonsmoking
धूम्रपान निषिद्ध	a.nonsmoking
धूर	n+m.fume@n.fumes@n+m.smoke@n.smokes
धूर ओढणे	v.toke
धूर निकास	n+m.exhaust
धूर निघणे	vi.fume
धूरविरहित	a.smokeless
धूर्त	a.artful@a.calculating@a.crafty@a.cunning@a.dodgy@a.foxy@a.sly@a.wily
धूर्तता	n+f.cunning
धूळ	n+f.dust@n+f.dusts
धूळ झटकणे	v.dust
धूळ झाडणे	n+n.dusting
धूळ झाडत आहे	v.dusting
धूळ झाडतो	v.dusts
धूळ झाडली	v.dusted
धूळ झाडलेला	a.dusted
धूळ पुसण्याचे कापड	n+m.duster
धूळभरलेला	a.dusty
धूसर	a.blurred
धूसर करणे	vt.blur
धूसर करत आहे	v.blurring
धूसर होणे	n+n.blurring
धूसरपणा	n+n.blur
धृवपद	n+m.refrain
धैर्य	n+n.courage@n+f.fortitude
धो धो पाऊस	n+m.torrent
धोका	n+m.danger@n+m.hazard@n+f.jeopardy@n+m.menace@n+m.peril@n+m.pitfall@n+m.risk@n+m.threat
धोका पत्करणे	vt.risk
धोका पत्करत आहे	v.risking
धोका पत्करला	v.risked
धोकादायक	a.dangerous@a.hazardous@a.perilous@a.risky
धोकादायक पदार्थ	n+m.hazmat
धोकादायकरीत्या	ad.dangerously
धोके	n+f.dangers@n+m.hazards@n.perils@n+m.risks@n+m.threats
धोक्यात असलेला	a.endangered
धोक्यात आणणे	vt.endanger@v.endangered@v.endangering@vt.jeopardize
धोरण	n+f.policy
धोरण निर्मिती	n+n.policymaking
धोरणकर्ते	n.policymakers
धोरणकार	n+m.strategist
धोरणात्मक	a.strategic
धोरणात्मकदृष्ट्या	ad.strategically
धोरणे	n+f.policies
ध्यान	n+f.meditation@n.meditations
ध्यान करणे	vi.meditate@v.meditating
ध्यानस्थ	a.meditating@a.meditative
ध्यास	n.obsessions
ध्येय	n+n.goal
ध्येये	n+n.goals
ध्रुव	n+f.pole@n+m.poles
ध्रुवता	n+f.polarity
ध्रुवप्रकाशाचा	a.auroral
ध्रुवीकरण	n+f.polarisation@n+n.polarization
ध्रुवीकरण करणे	v.polarizing
ध्रुवीकारक	n+m.polarizer
ध्रुवीकृत	a.polarized
ध्रुवीय	a.polar
ध्वज	n+f.banners@n+m.flag@n+f.flags
ध्वजदंड	n+m.flagpole@n+m.flagstaff
ध्वजधारी	n+m.ensign
ध्वनिक	a.acoustic
ध्वनिमार्ग	n+m.soundtracks
ध्वनिमुद्रण	n+n.recordings
ध्वनिविषयक	a.acoustical@a.phonic
ध्वनिशास्त्र	n+f.acoustics@n+f.phonetics@n.sonics
ध्वनी	a.sonic@n+n.sounding
ध्वनी करणारा	a.sounding
ध्वनीचित्रे	n+n.soundscapes
ध्वनीदर्शक	n+m.sounder
ध्वनीफलक	n+m.soundboard
ध्वनीशास्त्र	n+f.phonics@n+f.phonology
ध्वनीशास्त्रीय	a.phonological
ध्वन्यात्मक	a.phonemic@a.phonetic
न उघडलेला	a.unopened
न ऐकलेला	a.unheard
न कापलेला	a.uncut
न केलेला	a.undone
न गाळलेला	a.unfiltered
न तुटणारा	a.unbreakable
न दिलेला	a.unpaid
न दिसणारा	a.invisible
न पाहिलेला	a.unobserved@a.unseen
न बसणारा	a.misfit
न भरलेला	a.unfilled
न मागितलेला	a.unsolicited
न वाचलेला	a.unread
न वापरलेला	a.untapped@a.unused
न शिजवलेला	a.uncooked
न सांगितलेला	a.untold
न सापडलेला	a.undetected
न सोडवलेला	a.unresolved@a.unsolved
न हलणारा	a.stationary
नंतर	prep.after@conj.after@ad.afterwards@ad.later@ad.then
नंतरचा	a.latter
नंदनवन	n+n.paradise
नऊ	a.nine
नकलाकार	n+m+pl.mimics
नकली	a.faux@a.imitation@n+m.knockoff@a.knockoff
नकली हिरे	n.rhinestones
नकळत	a.inadvertent@ad.involuntarily@ad.unconsciously@ad.unknowingly
नकळतपणे	ad.unwittingly
नकार	n+f.declination@n+m.denial@n.denials@n+m.nays@n+f.negation@n.noes@n+m.refusal@n+f.rejection@n+f.rejections@n+f.repudiation
नकार दिला	v.declined
नकार दिलेला	a.disclaimed
नकार देणे	v.decline@v.deny@v.refuse@vt.refusing
नकार देतो	vi.declines@vt.refuses
नकारात्मक	a.neg@a.negative@n+m.negative@n+m.negatives
नकारात्मकता	n+f.negativity
नकारात्मकपणे	ad.negatively
नकाराधिकार	n+m.veto
नकाशा	n+m.map@n+m.plat
नकाशा करणे	vt.map
नकाशा बनवला	v.charted
नकाशावर नसलेला	a.uncharted
नकाशाशास्त्र	n+f.cartography
नकाशाशास्त्रीय	a.cartographic
नकाशासंग्रह	n+m.atlas@n.atlases
नकाशे	n+m.maps
नकुल	n+m.weasel
नको असलेला	a.unwanted
नक्कल	n+f.copying@a.duplicate@n+f.imitation@n+f+pl.imitations@n+m.replica
नक्कल करणारा	a.imitating
नक्कल करणारे	n+m.impersonators
नक्कल करणे	vt.ape@vt.imitate@v.impersonate@vt.mimic@v.mimicking@vt.simulate@vt.spoof
नक्कल करतो	v.mimics@v.simulates
नक्कल केलेला	a.imitated@a.spoofed
नक्कलची	n+m.mimic
नक्कीच	ad.certainly@ad.sure@ad.surely
नक्षीकाम	n+n.needlepoint
नक्षीदार	a.patterned
नखांची सजावट	n+f.manicure
नखांनी ओरबाडले	v.clawed
नखाची त्वचा	n+m.cuticle
नखे	n+f.claws@n+m+pl.fingernails@n+f.nail@n+f.nails
नखे असलेला	a.clawed
नखे सजवणे	vt.manicure
नख्या	n+f.claw
नगण्य	a.negligible
नगर	n+n.burg@n+f.town
नगरपालिका	n+f.borough@n.boroughs@n+f.municipalities@n+f.municipality@n+f.township
नगरसेवक	n+m.alderman@n+m.aldermen@n+m.councillor@n+m.councillors@n+m.councilman
नगरसेविका	n+f.councilwoman
नग्न	a.naked@a.nude
नग्न चित्रे	n+f.nudes
नग्नता	n+f.nudity@n+n.undress
नग्नतावाद	n+m.nudism
नग्नतावादी	n+m.naturist@n+m.nudists
नग्नवादी	n+m.nudist@a.nudist
नजर	n+f.gaze@n+f.glance@n+f.look@n+f.observation
नजर टाकणे	vi.glance
नजर टाकत आहे	v.glancing
नजर टाकतो	v.glances
नजर टाकलेली	vi.glanced
नजर ठेवत आहे	v.eyeing
नजर ठेवतो	vt.overlooks
नजर फिरवणे	vi.gander
नजरकैद	a.interned@n+n.internment
नजरकैदेत ठेवले	v.interned
नजरा	n.glances
नजारे	n+n.sights
नट	n+f.nut@n+m.stud
नटखट	a.naughty
नटलेला	a.dressy
नड्सन	n.knudsen
नतमस्तक होणे	v.prostrate
नतालिया	n.natalia
नताशा	n.natasha
नदी	n+f.riv@n+f.river@n+f.stream
नदीकाठ	n+m.riverbank@n+m.riverfront
नदीकाठचा	a.riparian@a.riverine@a.riverside
नदीकिनारा	n+m.riverside
नदीचे उगमस्थान	n+n.riverhead
नदीन	n.nadine
नदीनाव	n+f.riverboat
नदीपात्र	n+n.riverbed
नदीसंबंधी	a.fluvial
नद्या	n+f.rivers
नन	n+f.nun@n.nuns
नपुंसक	a.impotent@a.neuter
नपुंसक करणे	vt.neuter
नपुंसक केले	v.neutered
नपुंसक केलेला	a.neutered
नपुंसकत्व	n+f.impotence
नपुंसकीकरण	n+f.castration
नफा	n+m.profit@n+m.profits
नफा कमावणे	n+n.profiting
नफा नसलेला	a.nonprofit@a.unprofitable
नफाक्षमता	n+f.profitability
नफेखोर	a.profitable
नमन करतो	vt.bows
नमस्कार	n+m.greeting@n+m.greetings@int.hello@int.howdy@n+f.regards@n+m.salutation
नमस्कार करणे	v.bow
नमुना	n+n.model@n+m.pattern@n+m.prototype@n+m.sample@n+n.sampler@n+m.specimen@n+m.swatch
नमुना घेणे	vt.sample@n+n.sampling@v.sampling
नमुना घेतलेला	a.sampled
नमुना तयार करणे	n+n.patterning
नमुना तयार करत आहे	v.patterning
नमुना बनवणारा	n+m.modeller
नमुना यंत्र	n.samplers
नमुने	n+m.patterns@n+m.samples@n+m.specimens
नमूद करणे	v.specifying
नमूद केले	v.noted
नम्र	a.humble@a.lowly@a.meek@a.submissive
नम्र करणारा	a.humbling
नम्र करणे	v.humbling
नम्र केले	v.humbled
नम्र झालेला	a.humbled
नम्रता	n+m.gentleness@n+f.humility@n+f.modesty
नम्रपणे	ad.gently@ad.humbly
नर	n+m.males
नर बदक	n+m.drakes
नर मासा	n+m.milter
नर हंस	n+m.gander
नर हरीण	n+m.stags
नरक	n+n.hell@n.hells@n+m.inferno@n+f.perdition
नरकाग्नी	n+f.hellfire
नरकासारखा	a.hellish@a.infernal
नरभक्षक	n+m.cannibal@a.cannibal@n+m.cannibals
नरभक्षण	n+m.cannibalism
नरम	a.lenient@a.yielding
नरसंहार	n+m.carnage@n+m.genocide@n+m.holocaust@n+m.massacre
नर्डी	a.nerdy
नर्तक	n+m.dancer@n+m.dancers
नर्तकी	n+f.dancer
नर्फ	n.nerf
नर्स	n+m.nurses
नर्सरी	n+f.nurseries
नलिका	n.conduits@n+f.duct
नलिका लावली	v.ducted
नलिका व्यवस्था	n+n.ducting
नलिकायुक्त	a.ducted
नलिकासंबंधी	a.tubal
नळ	n+m.faucet@n+m.faucets@n+m.spigot@n+f.tap@n+f.taps
नळकामाचे काम	n+n.plumbing
नळी	n+m.chutes@n.ducts@n+f.tube@n+n.tubing
नळीचा	a.piped
नळीसारखा	a.tubular
नळ्या	n+f.pipes@n+f.tubes
नवकल्पना	n+f.innovation
नवकल्पना करणे	vi.innovate
नवखा	n+m.fledgling@a.fledgling
नवखा विद्यार्थी	n+m.frosh
नवखे	n+m.newbies@n.novices@n.rookies
नवजात	a.neonatal@n+m.neonates@a.newborn
नवजात बाळ	n+n.newborn
नवजात शिशू	n.newborns
नवजात शिशूचे कपडे	n+f.layette
नवतारा	n+n.nova
नवनिर्मिती करणे	v.innovating
नवपाषाणयुगीन	a.neolithic
नवरदेव	n+m.bridegroom
नवरा	n+m.hubby
नवलाई	n+n.novelty
नववधू	n+f.bride
नववा	a.ninth
नवशास्त्रीय	a.neoclassical
नवशिका	n+m.beginner@n+m.neophyte@n+m.novice@n+m.rookie
नवशिके	n+m.beginners@n+m.freshman@n+m.freshmen
नवशिक्या	n+m.newbie
नवशिक्षित	n+m.initiate@n.initiates
नवश्रीमंत	n+m.upstart
नवसाचा	a.votive
नवागत	n+m.newcomer@n+m.newcomers
नवारे	n.navarre
नवारो	n.navarro
नवाहो	n+m.navajo@a.navajo
नवीकरण	n+f.novation
नवीकरणीय	a.renewable
नवीकृत	a.renewed
नवीन	a.mint@a+m.new@a+f.new@a+n.new@a.newer@a.novel
नवीन ओळ	n+f.newline
नवीन ओळी	n+f+pl.newlines
नवीन गाठ	n+m.neoplasm
नवीन भरती	n+m.recruits
नवीन वस्तू	n+f.novelties
नवीन विद्यार्थी	n+m.fresher@n+m.freshers
नवीन व्यक्ती	n+m.newbie@n+m.uninitiated
नवीन संपादन	n+f+pl.accessions
नवीन सदस्य	n+m.recruit
नवीन सापडलेला	a.newfound
नवीनतम	a.latest@a.newest
नवीनता	n+f.novelty
नवोन्मेषक	n+m.innovator@n.innovators
नवोन्मेषी	a.innovative
नव्याने	ad.newly
नव्याने धर्मांतरित	n+m.neophyte
नव्याने बनवलेला	a.minted
नव्वद	a.ninety
नव्वदी	n.nineties
नशा	n+m.drunkenness@n+f.intoxication
नशा केली	v.intoxicated
नशिबात असलेला	a.doomed
नशिबी असलेला	a.fated
नशीब	n+n.destiny@n+n.fate@n.fates@n+n.fortune@n+f.fortunes@n+m.kismet@n+n.luck
नशीब ठरवणे	vt.doom
नशीबवान	a.lucky
नशेत	a.drugged@a.intoxicated
नशेत असलेला	a.stoned
नश्वर	a.mortal@a.mortals
नष्ट करणे	vt.abolish@v.abolishing@v.destroy@vt.destroying@v.destruct@v.eliminate@v.trashing@vt.wreck@vt.zap
नष्ट करतो	vt.destroys@v.wrecks
नष्ट केले	v.decimated@v.destroyed@v.obliterated
नष्ट केलेला	a.blasted@a.trashed
नष्ट झालेला	a.blighted@a.destroyed@a.fucked
नष्ट होणे	vi.perish
नस	n.nus
नसलेला	a.lacking
नसेद्वारे	ad.intravenously
नस्य	n+m.snuff
नहर	n+f.canal
नहूम	n.nahum
नहेम्या	n.nehemiah
ना-नफा संस्था	n+f.nonprofit@n.nonprofits
नांगर	n+m.anchor@n+m.plough
नांगर टाकणे	v.anchor@vt.moor
नांगर टाकत आहे	v.anchoring
नांगर टाकतो	v.moors
नांगरणारा	n+m.tiller
नांगरणे	n.moorings@vt.plough
नांगरण्याची जागा	n+n.mooring
नांगरत आहे	v.mooring
नांगरले	v.moored
नांगरलेला	a.anchored
नांगरस्थान	n+f.anchorage
नांत	n.nantes
नांदीला	n+m.cuckold
नाइट	n+m.knight@n+m.knights
नाइटक्लब	n+m.nightclub@n+m.nightclubs
नाइल्स	n.niles
नाईटशेड	n+m.nightshade
नाईल नदी	n+f.nile
नाईलाजाने	ad.perforce
नाओमी	n+f.naomi
नाक	n+n.nose
नाक असलेला	a.nosed
नाक ओढले	v.sniffed
नाक शस्त्रक्रिया	n+f.rhinoplasty
नाकपुड्या	n+f+pl.nostrils
नाकाने फुसफुसत आहे	v.snorting
नाकारणारा	n+m.denier
नाकारणे	v.bork@n+n.denial@v.deny@vt.denying@vt.disallow@vt.disclaim@vt.negate@vt.nix@v.reject@vt.rejecting@vt.veto
नाकारतो	vt.denies@vt.disclaims@vt.rejects
नाकारले	v.denied@v.disallowed@v.disclaimed@v.negated@v.refused@v.rejected
नाकारलेला	a.denied@a.disallowed@a.refused@a.refuted@a.rejected
नाकारलेली वस्तू	n+m.reject
नाकारलेले	n+m.rejects
नाके	n.noses
नाकेबंदी	n+f.blockade
नाकेबंदी करणे	vt.blockade
नाखुशी	n+n.unhappiness
नाखूश	a.unhappy
नाग	n+m.cobra@n+f.viper
नागपूर	n.nagpur
नागमोडी वळण	n+m.oxbow
नागरिक	n+m.citizen@n+m.citizens@n+m.civilian@n+m.civilians@n+m.nationals
नागरिकत्व	n+f.citizenship
नागरिकत्व दिले	v.naturalized
नागरिकत्व प्राप्त	a.naturalized
नागरिकवर्ग	n+f.citizenry
नागरिकशास्त्र	n+f.civics
नागरी	a.civic@a.civil@a.civilian
नागरीवाद	n+m.urbanism
नागा	n+m.naga
नागानो	n.nagano
नागालँड	n+n.nagaland
नागासाकी	n.nagasaki
नागीण	n+m.herpes@n.shingles
नागोया	n.nagoya
नाचणे	vi.dance@v.dancing
नाचतो	vi.dances
नाचले	vi.danced
नाचो	n+m.nacho
नाचोस	n+m.nachos
नाजूक	a.dainty@a.delicate@a.fragile@a.petite
नाजूकता	n+f.delicacy@n+f.fragility
नाजूकपणे	ad.delicately
नाझरेथ	n.nazareth
नाझरेथचा	n+m.nazarene@a.nazarene
नाझी	n+m.nazi@n+m.nazis
नाझी संबंधी	a.nazi
नाझीवाद	n+m.nazism
नाटक	n+n.drama@n+n.dramas@n+n.play
नाटक करणे	v.hoke
नाटक केले	v.pretended
नाटक जाहिरात	n+m.playbill
नाटककार	n+m.dramatist@n+m.playwright@n.playwrights
नाटकी	a.campy@a.theatrical@a.twee
नाटकीयरित्या	ad.dramatically
नाटके	n+f.plays
नाटिका	n+m.mime
नाट्यगृह	n+n.playhouse@n+n.theatre
नाट्यगृहे	n+n.theatres
नाट्यमंडळी	n+f.troupe
नाट्यमय	a.dramatic
नाट्यविषयक	a.theatrical
नाठाळ	n+m.sod
नाडी	n+f.pulse
नाणी	n+f.coins
नाणी निर्मिती	n+f.coinage
नाणी पाडतो	vt.mints
नाणे	n+n.coin
नाणेशास्त्रीय	a.numismatic
नात	n+f.granddaughter
नातवंडे	n+n.grandchildren
नाताळ	n+n.xmas@n+m.yule
नाती	n+n.relationships
नातू	n+n.grandchild@n+m.grandson
नाते	n+n.relationship
नातेवाईक	n+m.kin@n+m.kindred@n+m.kinsman@n+m.relative@n+m.relatives
नातेसंबंध	n+f.kinship
नादिया	n.nadia
नादिर	n+m.nadir
नान	n+f.nan
नानजिंग	n.nanjing
नापसंत	a.deprecated@a.disliked
नापसंत करणे	vt.dislike
नापसंत करतो	vt.dislikes
नापसंत केले	v.disapproved
नापसंती	n+f.disapproval@n+f.dislike@n.dislikes@n+f.distaste
नापसंती दर्शवणे	vt.disapprove
नापास	n+f.fails
नापीक	a.infertile
नाबोकोव्ह	n+m.nabokov
नाब्लुस	n+m.nablus
नाभी	n+f.navel
नाभीसंबंधी	a.umbilical
नाम	n+m.nam@n+n.noun@n.nouns
नामकरण	n+m.namesake@n+n.naming
नामकरण करणारा	a.eponymous
नामकरण करणे	v.christen
नामनिर्देशित	a.nominated
नाममात्र	a.nominal@ad.nominally@a.titular@a.token
नामर्द	n+m.sissy
नामशेष	a.extinct@n+f.extinction
नामा	n+m.nama
नामांकन	n+f.nomination@n+f.nominations
नामांकन करणे	vt.nominate@vt.nominating
नामांकित	n+m.nominee@n+m.nominees@a.renowned
नामांकित केले	v.nominated
नामावली	n+f.nomenclature
नामित	a.named
नामिबियन	a.namibian@n+m.namibian
नामिबिया	n+n.namibia
नामुष्की आणणे	v.humiliate
नायक	n+m.hero@n+m.heroes@n+m.protagonist@n+m+pl.protagonists
नायके	n+m.nike
नायगारा	n+n.niagara
नायजर	n+n.niger
नायजेरियन	a.nigerian@n+m.nigerian
नायजेरियन लोक	n+m.nigerians
नायजेरिया	n+n.nigeria
नायटा	n+m.ringworm
नायट्रस	a.nitrous
नायट्राइट	n+m.nitrite
नायट्राइड	n+n.nitride
नायट्राइल	n+m.nitrile
नायट्रिक	a.nitric
नायट्रेट	n+m.nitrate@n.nitrates
नायट्रो	n+m.nitro
नायट्रोजन	n+m.nitrogen
नायर	n.nair
नायरा	n+f.naira
नायलॉन	n+m.nylon@n+m.nylons
नायलॉनचा	a.nylon
नायसिन	n+m.niacin
नायिका	n+f.heroine
नारंगी	a.orange
नारळ	n+m.coconut
नारा	n.nara
नारागान्सेट	n+m.narragansett
नाराज	a.displeased@a.offended@a.upset
नाराज केले	v.displeased
नाराज झाले	v.resented
नाराजी	n+f.displeasure@n+m.resentment
नार्निया	n+f.narnia
नार्सिसस	n+m.narcissus
नाल	n+f.horseshoe@n+m.horseshoes
नाला	n+m.arroyo
नाली	n+f.gully
नालीदार	a.corrugated
नाव	n+f.appellation@n+f.ark@n+f.boat@n+n.name@n+m.nom@n+m.reputation
नाव चालवणे	v.boating
नाव ठेवलेला	a.christened
नाव दिले	v.named
नाव देणे	vt.dub@vt.name@v.naming
नावखेळ	n+n.rowing
नावाचा	a.called@a.denominated
नावाची पाटी	n+f.nameplate
नावाचे केले	v.denominated
नावाडी	n+m.boater@n.boaters
नावाडी घर	n+f.houseboat
नाविक	n+m.rower@n+m.seafarers
नाविन्य	n+f.innovations
नाविन्यपूर्ण	a.innovating
नावे	n+n.debit@n+n.names
नावे टाकणे	vt.debit
नाश	n+f.destruction@n+m.doom@n+n.ruining@n+n.trashing@n+n.undoing
नाश करणारा	n+m.wrecker
नाश करणे	vt.blight@vt.ruin
नाश करतो	vt.ruins
नाश पावलेला	a.perished
नाशक	n+m.destructor
नाशपाती	n+n.pear@n.pears
नाशवंत	a.perishable
नाशवंत वस्तू	n+n.perishable
नाशुआ	n.nashua
नाश्ता	n+m.breakfast@n+m.breakfasts@n+m.snack@n+m.snacks
नासाऊ	n+m.nassau
नासाडी	n+f.ruin
नासिकादाह	n+f.rhinitis
नासिर	n.nasser
नास्तिक	n+m.atheist@n.atheists@a.godless@n+m.infidel@a.infidel
नास्तिकता	n+m.atheism
नाही	ad.nae@int.nah@ad.nay@int.nay@int.neh@ad.no@int.nope@conj.nor@ad.not
नाहीतर	conj.lest
नाहीसा होतो	vi.vanishes
नाहीसे झाले	v.disappeared
नाहीसे होणे	vi.disappear@n+n.evanescence@v.evaporate
निंजा	n+m.ninja@n+m+pl.ninjas
निंदक	n+m.cynic@a.cynic@a.cynical
निंदकवाद	n+m.cynicism
निंदनीय	a.condemning@a.deplorable@a.reprehensible
निंदा	n+f.censure@n+f.reproach
निंदा करणे	v.censure@vt.condemns@v.damning@vt.denounce@v.denouncing@v.reproach
निंदा करत आहे	v.condemning
निंदित	a.condemned
निःपक्षपाती	a.disinterested@a.impartial@a.nonpartisan
निःशब्द	a.speechless
निःशस्त्र करणे	vt.disarm
निःशस्त्रीकरण	n+n.disarmament
निःसंदिग्ध	a.unequivocal
निःसंदिग्धपणे	ad.unambiguously
निःसंदिग्धीकरण	n+f.disambiguation
निःसंशय	ad.doubtless@a.doubtless
निःसंशयपणे	ad.undoubtedly
निःस्वार्थता	n+f.selflessness
निःस्वार्थी	a.selfless@a.unselfish
निऑन	n+m.neon
निओकॉन	n+m.neocon
निओट्रॉपिकल	a.neotropical
निओडिमियम	n+m.neodymium
निओप्रीन	n+m.neoprene
निक	n+m.nick
निकटता	n+n.immediacy
निकडीचा	a.urgent
निकर	n.knickers
निकष	n+m.benchmark@n+n.criteria@n+n.criterion
निकामी गोष्टी	n+m.duds
निकाराग्वा	n+n.nicaragua
निकाराग्वान	a.nicaraguan
निकाराग्वान व्यक्ती	n+m.nicaraguan
निकाल	n+m.outcome@n+n.outcomes@n+f.result@n+f.results@n+m.verdict@n.verdicts
निकालात काढणे	vt.settling
निकास	n.exhausts@n+f.outfall
निकिता	n.nikita
निकृष्ट	a.shoddy
निकृष्ट दर्जाचा	a.substandard
निकेल	n+n.nickel@n+m.nickle
निकेल नाणी	n.nickels
निकेलोडियन	n+n.nickelodeon
निकॉन	n+m.nikon
निकोटीन	n+n.nicotine
निकोबार	n+m.nicobar
निकोल	n+f.nichole@n+f.nicole
निकोलस	n+m.nicholas@n+m.nicolas
निकोलसन	n+m.nicolson
निकोला	n.nicola
निकोलाई	n.nikolai
निकोलाय	n+m.nicolai
निकोल्स	n+m.nichols
निकोल्सन	n+m.nicholson
निकोसिया	n.nicosia
निक्की	n+f.nikki
निक्केई	n.nikkei
निक्को	n.nikko
निक्लॉस	n.nicklaus
निक्षालन	n+n.leaching
निक्षालन करत आहे	v.leaching
निक्षेपण	n+n.deposition
निक्सन	n+m.nixon
निखळणे	n+f.dislocations
निखळले	v.dislocated
निखळलेला	a.dislocated
निखारा	n+m.cinder@n+f.ember
निगम करणे	vt.incorporates
निगमन	n+n.incorporation
निगमनात्मक	a.deductive
निगर	n+m.nigger
निगराणी	n+n.surveillance
निगाज	n+m+pl.niggaz
निगाता	n+f.niigata
निगेल	n+m.nigel
निग्गाज	n.niggas
निग्रो	n+m.negro@n.negroes@n.negros
निघणे	vi.depart@vt.departing@vi.departs@n+f.departure@n+f.departures
निघालेला	a.departed
