-artig	a.natured
Partitionen	n+f.partitions
Partitionierung	n+f.partitioning
Partizip	n+n.participle
Partner	n+m.partners@n+m.partner@n+m.associates@n+m.affiliate@n+m.affiliates@n+m.associate@n+m.mate@n+m.boyfriend@n+f.mates
Partnerin	n+f.partner
Partnerschaft	n+f.partnership@n+f.partnering
Partnerschaften	n+f.partnerships
Partnervermittlung	n+f.matchmaking
Parton	n.parton
Party	n+f.party@n+f.bash
Partygänger	n+m.raver
Partys	n+f.parties@n+f.raves
Partyservice	n+m.caterers@n+m.caterer
Parvenü	n+m.upstart
Parzelle	n+f.parcel@n+f.plat@n+f.plats
Parzellen	n+f.parcels
Pasadena	n+n.pasadena
Pascal	n+m.pascal
Pascha	n+m.pasha
Paschtu	n+n.pashto
Paspelierung	n+f.piping
Pasquale	n.pasquale
Pass	n+m.pass@n+m.cols
Passage	n+f.passage
Passagen	n+f.passages
Passagier	n+m.passenger
Passagiere	n+m.passengers
Passahfest	n+n.passover
Passant	n+m.passer@n+m.passers
Passform	n+f.fit
Passgeber	n+m.passer
Passion	n+f.passion
Passphrase	n+f.passphrase
Passwort	n+n.password
Passwörter	n+n.passwords
Pasta	n+f.pasta@n+f.pastas
Paste	n+f.paste@n+f.pastes
Pastell	n+n.pastel
Pastelle	n.pastels
Pastellfarben	n.pastels
Pastete	n+f.pate@n+f.pasty
Pasteten	n+f.pies
Pasteur	n.pasteur
Pastille	n+f.lozenges
Pastor	n+m.pastor@n+m.parson
Pastoren	n+m.pastors
Pat	n+m.pat
Pataca	n+f.pataca
Patagonien	n.patagonia
Patch	n+m.patch
Patchen	n+n.patching
Patches	n+n.patches
Patchwork	n+n.patchwork
Pate	n+m.godfather
Patel	n.patel
Patenschaft	n+f.sponsorship
Patenschaften	n+f.sponsorships
Patent	n+n.patent
Patente	n+n.patents
Patentierung	n+f.patenting
Pater	n+m.padre@n+m.pere
Paterson	n.paterson
Pathogen	n+n.pathogen
Pathogene	n+m.pathogens
Pathogenese	n+f.pathogenesis
Pathogenität	n+f.pathogenicity
Pathologe	n+m.pathologist
Pathologen	n.pathologists
Pathologie	n+f.pathology@n+f.pathol
Pathologin	n+f.pathologist
Pathos	n+n.pathos
Patience	n+f.solitaire
Patient	n+m.patient
Patienten	n+m.patients
Patientin	n+f.patient
Patin	n+f.godmother
Patina	n+f.patina
Patna	n.patna
Paton	n.paton
Patras	n+n.patras
Patriarch	n+m.patriarch
Patriarchat	n+n.patriarchy
Patrice	n.patrice
Patricia	n+f.patricia
Patrick	n+m.patrick
Patriot	n+m.patriot
Patrioten	n+m.patriots
Patriotismus	n+m.patriotism
Patron	n+m.patron
Patrone	n+f.cartridge
Patronen	n+f.cartridges
Patrouille	n+f.patrol@n+f.patrolling
Patrouillen	n.patrols
Patschuli	n+n.patchouli
Patsy	n.patsy
Patt	n+n.stalemate
Patten	n.patten
Patterson	n+m.patterson
Patti	n.patti
Patton	n.patton
Pattsituation	n+f.standoff
Patty	n.patty
Patzer	n+m.bumble@n.goofs@n+m.bloopers@n+m.goof
Pau	n.pau
Paul	n+m.paul
Paula	n+f.paula
Paulette	n.paulette
Pauli	n.pauli
Pauline	n.pauline
Pauling	n.pauling
Pause	n+f.break@n+f.pause@n+f.recess@n+f.hiatus@n+f.intermission
Pausen	n+f.breaks@n.pauses
Pausieren	n+n.pausing
Pavarotti	n.pavarotti
Pavian	n+m.baboon
Pavillon	n+m.pavilion@n+m.gazebo@n+m.pavilions@n+m.gazebos
Pawnee	n+m.pawnee
Pax	n.pax
Paxton	n.paxton
PayPal	n+n.paypal
Payne	n+m.payne
Pazifik	n+m.pacific
Pazifismus	n+m.pacifism
Pazifist	n+m.pacifist
Peabody	n.peabody
Pearson	n+m.pearson
Peavey	n.peavey
Pech	n+m.misfortune@n+m.whammy
Pechsträhne	n+f.jinx
Pecos	n.pecos
Ped.	n.ped
Pedal	n+n.pedal
Pedale	n+n.pedals
Pediküre	n+f.pedicure@n+f.pedicures
Pedometer	n+n.pedometers
Pedro	n+m.pedro
Peebles	n.peebles
Peeling	n+n.peeling
Peelings	n+m.scrubs
Peepshow	n+f.peepshow
Peer	n+m.peer
Peering	n+n.peering
Peers	n+m.peers
Peerstand	n+m.peerage
Pegasus	n.pegasus
Pegel	n+m.level
Peggy	n+f.peggy
Pei	n.pei
Pein	n+f.pain@n+f.anguish@n+f.torment
Peinlichkeit	n+f.embarrassment
Peirce	n.peirce
Peitsche	n+f.whip@n+f.lash
Peitschen	n.whips
Peitschenhieb	n+m.whiplash
Peitschenhiebe	n.lashes
Pekannuss	n+f.pecan
Pekannüsse	n.pecans
Peking	n+n.beijing@n.peking@n.pekin
Pektin	n+n.pectin
Pelham	n.pelham
Pelikan	n+m.pelican@n+m.pelicans
Pella	n.pella
Pellet	n+n.pellet
Pelletier	n.pelletier
Pellets	n+n.pellets
Pelz	n+m.fur
Pelze	n.furs
Pelzhändler	n+m.voyageurs
Pelé	n.pele
Pembroke	n.pembroke
Pena	n.pena
Penang	n.penang
Pence	n.pence
Pendant	n+m.counterpart@n+n.analogues
Pendants	n+m.counterparts
Pendel	n+n.pendulum
Pendeln	n+n.commuting
Pendelstrecke	n+m.commutes
Pendelweg	n+m.commute
Pendler	n+m.commuter@n.commuters
Pendragon	n.pendragon
Penelope	n.penelope
Penetration	n+f.penetration
Peng	n.peng
Penicillin	n+n.penicillin
Penis	n+m.penis@n+m.penises@n+m.pecker
Penis-	a.penile
Penn	n+m.penn
Penna	n.penna
Penne	n+f.doss
Penner	n+m.bum@n+m.bums
Penney	n.penney
Pennington	n.pennington
Pennsylvania	n+n.pennsylvania
Penny	n+m.penny
Pennys	n.pennies
Penobscot	n.penobscot
Pensacola	n.pensacola
Pension	n+f.pension
Pensionen	n+f.pensions@n.guesthouses
Pensionierung	n+f.superannuation@n+f.retirements
Pensionsgast	n+m.boarder
Pensionär	n+m.retiree@n+m.pensioner
Pensionäre	n+m.retirees@n.pensioners
Pentagon	n+n.pentagon
Pentagramm	n+n.pentagram
Pentakel	n+n.pentacle
Pentathlon	n+n.pentathlon
Pentax	n+m.pentax
Penthouse	n+n.penthouse
Pentium	n+m.pentium
Penzance	n.penzance
Peoria	n.peoria
Peperoniwurst	n+f.pepperoni
Pepperoni	n+f.pepperoni
Pepsi	n.pepsi
Peptid	n+n.peptide
Peptidase	n+f.peptidase
Peptide	n+n.peptides
Pepys	n+m.pepys
Pequot	n+m.pequot
Pera	n.pera
Perchlorat	n+n.perchlorate
Percival	n.percival
Percy	n.percy
Perez	n+m.perez
Perfektion	n+f.perfection
Perfektionist	n+m.perfectionist
Perforation	n+f.perforation
Performance	n+f.performance
Perfusion	n+f.perfusion
Pergament	n+n.parchment@n+n.vellum
Pergola	n+f.pergola
Peri	n.peri
Peridot	n+m.peridot
Perikopenbuch	n+n.lectionary
Perimeter	n+m.perimeter
Periode	n+f.period
Perioden	n+f.periods
Periodika	n+f.periodicals
Periodizität	n+f.periodicity
Peripherie	n+f.circumference@n+f.periphery
Peripheriegerät	n+n.peripheral
Peripheriegeräte	n+n.peripherals
Periskop	n+n.periscope
Perkins	n+m.perkins
Perkolation	n+f.percolation
Perkussion	n+f.percussion
Perkussionist	n+m.percussionist
Perl	n+n.perl
Perle	n+f.pearl@n+f.bead
Perlen	n+f.beads@n+f.pearls
Perlenbesatz	n+f.beading
Perlenstickerei	n+f.beading
Perlman	n.perlman
Perm	n+n.permian
Permafrost	n+m.permafrost
Permeabilität	n+f.permeability
Permutation	n+f.permutation
Permutationen	n.permutations
Perot	n.perot
Peroxid	n+n.peroxide
Peroxidase	n+f.peroxidase
Perrier	n.perrier
Perrin	n.perrin
Perry	n+m.perry
Persephone	n.persephone
Perser	n+m.persians
Perseus	n.perseus
Pershing	n.pershing
Persien	n.persia
Persimone	n+f.persimmon
Persisch	n+n.persian@n+n.farsi
Persistenz	n+f.persistence
Person	n+f.person@n+f.persona
Persona	n+f.persona
Personal	n+n.staff@n+n.personnel@n+n.manpower
Personalbesetzung	n+f.staffing
Personalisierung	n+f.personalization
Personalvermittler	n+m.recruiters@n+m.recruiter
Personas	n.personas
Personen	n+f.persons
Perspektive	n+f.perspective@n+f.angle
Perspektiven	n+f.perspectives
Persönlichkeit	n+f.personality@n+f.individuality
Persönlichkeiten	n+f.personalities@n.personas@n+f.notables
Perth	n+n.perth
Perturbation	n+f.perturbation
Perturbationen	n.perturbations
Peru	n+n.peru
Peruaner	n+m.peruvian
Perugia	n.perugia
Perverser	n+m.pervert@n+m.perverts
Perversion	n+f.perversion
Perzentil	n+n.percentile@n+n.percentiles
Perücke	n+f.wig
Perücken	n+f.wigs
Peschawar	n.peshawar
Peseta	n+f.peseta
Peso	n+m.peso@n+m.piso
Pesos	n+m.pesos
Pessach	n+n.passover
Pessimismus	n+m.pessimism
Pest	n+f.plague
Pestilenz	n+f.pestilence
Pestizid	n+n.pesticide
Pestizide	n+n.pesticides
Pesto	n+n.pesto
Pete	n+m.pete
Petent	n+m.petitioner
Petenten	n+m.petitioners
Peter	n+m.peter
Peterborough	n.peterborough
Peters	n+m.peters
Petersburg	n+n.petersburg
Petersen	n.petersen
Petersfisch	n+m.dory
Petersilie	n+f.parsley
Peterson	n+m.peterson
Petite-Größen	n.petites
Petition	n+f.petition
Petition einreichend	v.petitioning
Petitionen	n+f.petitions
Petra	n.petra
Petrie	n.petrie
Petrochemikalie	n+n.petrochemical@n+n.petrochemicals
Petroleum	n+n.petroleum@n+n.kerosene
Petrologie	n+f.petrology
Petter	n.petter
Petticoat	n+m.petticoat
Petting	n+n.petting
Petunie	n+f.petunia
Peugeot	n+m.peugeot
Pfad	n+m.path@n+m.trail@n+m.pathway
Pfade	n+m.trails@n+m.paths@n+f.pathways
Pfadfinder	n+m.scout@n+m.scouts@n+m.pathfinder
Pfadfinderbewegung	n+f.scouting
Pfadfindertreffen	n+n.jamboree
Pfadname	n+m.pathname
Pfahl	n+m.stake
Pfahlgründung	n+f.piling
Pfahlwurzel	n+f.taproot
Pfand	n+n.pledge@n+m.gage@n+n.pawn@n+n.pawns
Pfandhaus	n+n.hock
Pfandrecht	n+n.lien
Pfandrechte	n+n.liens
Pfanne	n+f.pan
Pfannen	n+f.pans
Pfannenstiel	n+m.panhandle
Pfannenwender	n+f.spatula
Pfannkuchen	n+m.pancakes@n+m.pancake
Pfarr-	a.parochial
Pfarrei	n+f.parish@n+f.rectory
Pfarrer	n+m.rev@n+m.pastor@n+m.pastors@n+m.rector@n+m.vicar@n+m.parson
Pfarrhaus	n+n.presbytery@n+n.rectory@n+n.parsonage@n+n.vicarage
Pfau	n+m.peacock
Pfeffer	n+m.pepper@n+m.peppers
Pfefferkuchen	n+n.gingerbread
Pfefferminze	n+f.peppermint
Pfefferspray	n+n.mace
Pfeife	n+f.pipe@n+f.whistle
Pfeifen	n+f.pipes@n.whistles@n+n.whistling
Pfeifer	n+m.piper@n+m.whistler@n+m.pipers
Pfeil	n+m.arrow@n+m.dart
Pfeile	n+m.arrows@n+m.darts
Pfeiler	n+m.pier@n+m.pillar@n+m.pillars@n+m.piers
Pfeilmacher	n+m.fletcher
Pfeilspitze	n+f.arrowhead
Pfennig	n+m.penny
Pfennige	n.pennies
Pferch	n+m.corral
Pferd	n+n.horse
Pferde	n+n.horses
Pferde-	a.equine
Pferderennen	n+m.horseracing
Pferderücken	n+m.horseback
Pferdeschlitten	n+m.sleigh
Pferdeschwanz	n+m.ponytail
Pferdestärke	n+f.horsepower
Pfingst-	a.pentecostal
Pfingsten	n+n.pentecost@n+n.whitsunday
Pfingstrose	n+f.peony
Pfirsich	n+m.peach
Pfirsiche	n+f.peaches
Pfizer	n.pfizer
Pflanze	n+f.plant
Pflanzen	n+f.plants
Pflanzenstoffe	n.botanicals
Pflanzer	n+m.planters@n+m.planter@n+m.cropper
Pflanzgefäße	n+f.planters
Pflanzschale	n+f.planter
Pflanzung	n+f.planting
Pflaster	n+n.patch@n+n.pavement@n+n.pavements
Pflasterstein	n+m.cobblestone@n+m.sett
Pflasterung	n+f.paving@n+f.flagging
Pflaume	n+f.plum@n+f.plums
Pflege	n+f.care@a.foster@n+f.grooming@n+f.caregiving
Pflegekraft	n+f.caregiver
Pflegekräfte	n+m.caregivers
Pfleger	n+m.nurses@n+m.carers@n+m.orderly@n+m.carer
Pflegespülungen	n+f.conditioners
Pflicht	n+f.duty@n+f.obligation@n+f.onus
Pflicht-	a.compulsory
Pflichten	n+f.duties@n+f.obligations@n+f.chores
Pflock	n+m.peg
Pflug	n+m.plough
Pflöcke	n.pegs
Pflücker	n+m.picker@n+m.pickers@n+m.plucker
Pforte	n+f.porte@n+f.wicket
Pfote	n+f.paw
Pfoten	n+f.paws@n.mitts
Pfriem	n+m.awl
Pfund	n+n.sterling@n+n.pounds@n+n.lbs@n+n.pound@n+n.libra@n+n.quid
Pfusch	n+m.bungle
Pfuscher	n+m.cobbler
Pfähle	n+m.stakes@n.piling
Pfändung	n+f.garnishment@n+f.repossession
Pförtner	n+m.gatekeeper@n.porters@n+m.gatekeepers
Pförtnerwohnung	n+f.gatehouse
Pfünder	n+m.pounder
Pfütze	n+f.puddle@n+f.puddles
Phaeton	n+m.phaeton
Phage	n+m.phage
Phalanx	n+f.phalanx
Phantom	n+n.phantom@n+n.phantoms@n+n.fantom
Pharao	n+m.pharaoh@n+m.pharaohs
Pharisäer	n+m.pharisees
Pharmakologie	n+f.pharmacology
Pharmazeutika	n+n.pharmaceuticals
Pharmazeutikum	n+n.pharmaceutical
Pharmazie	n+f.pharmacy
Pharos	n.pharos
Phase	n+f.stage@n+f.phase
Phasen	n+f.stages@n+f.phases
Phasierung	n+f.phasing
Phebe	n+f.phebe
Phelps	n.phelps
Phenix	n.phenix
Phenobarbital	n+n.phenobarbital
Phenol	n+n.phenol@n+n.phenolic
Phenyl	n+n.phenyl
Phenylalanin	n+n.phenylalanine
Pheromon	n+n.pheromone@n+n.pheromones
Phi	n+n.phi
Phil	n+m.phil
Philadelphia	n+n.philadelphia
Philanthrop	n+m.philanthropist
Philanthropie	n+f.philanthropy
Philemon	n.philemon
Philharmonie	n+f.philharmonic
Philip	n+m.philip
Philippa	n.philippa
Philippe	n+m.philippe
Philipper	n+m.philippians
Philippinen	n+f.philippines
Philips	n+n.philips
Philister	n+m.philistines
Phillip	n+m.phillip
Phillips	n+m.phillips
Philly	n.philly
Philo	n.philo
Philologie	n+f.philology
Philosoph	n+m.philosopher
Philosophen	n+m.philosophers
Philosophie	n+f.philosophy
Philosophien	n+f.philosophies
Phiole	n+f.vial
Phiolen	n.vials
Phipps	n.phipps
Phish	n.phish
Phishing	n+n.phishing
Phlox	n+m.phlox
Pho	n+f.pho
Phobie	n+f.phobia@n+f.phobias
Phoebe	n.phoebe
Phoenix	n+n.phoenix
Phonem	n+n.phoneme
Phonetik	n+f.phonics@n+f.phonetics
Phonograph	n+m.phonograph
Phonologie	n+f.phonology
Phonon	n+n.phonon
Phosphat	n+n.phosphate@n+n.phosphates
Phosphatase	n+f.phosphatase
Phosphodiesterase	n+f.phosphodiesterase
Phospholipid	n+n.phospholipid@n+n.phospholipids
Phosphor	n+m.phosphorus@n+m.phosphor
Phosphor-	a.phosphoric
Phosphorylierung	n+f.phosphorylation
Phot	n+n.phot
Photogrammetrie	n+f.photogrammetry
Photometrie	n+f.photometry
Photon	n+n.photon
Photonen	n+n.photons
Photosynthese	n+f.photosynthesis
Phrase	n+f.phrase@n+f.phr
Phrasen	n+f.phrases
Phrasierung	n+f.phrasing
Phyllis	n.phyllis
Phylogenie	n+f.phylogeny
Phylum	n+n.phylum
Physik	n+f.physics@n+f.phys
Physiker	n+m.physicist@n.physicists
Physiologie	n+f.physiology
Physiotherapeut	n+m.physiotherapists@n+m.physio@n+m.physiotherapist
Physiotherapie	n+f.physiotherapy@n+f.physio
Phytoplankton	n+n.phytoplankton
Phänomen	n+n.phenomenon@n+n.phenom
Phänomene	n+n.phenomena
Phänomenologie	n+f.phenomenology
Phänotyp	n+m.phenotype
Phänotypen	n.phenotypes
Phönix	n+m.phoenix
Phönizier	n+m.phoenician
Piaget	n.piaget
Pianist	n+m.pianist@n+m.pianists
Piazza	n+f.piazza
Pica	n+f.pica@n+n.pica
Picard	n.picard
Picasso	n.picasso
Piccadilly	n.piccadilly
Piccolo	n+n.piccolo
Piccoloflöte	n+f.piccolo
Pickel	n+m.pimples
Pickering	n.pickering
Pickett	n.pickett
Picknick	n+n.picnic
Picknicks	n.picnics
Pickup	n+m.pickup
Pickups	n+m.pickups
Pickwick	n.pickwick
Piemont	n.piedmont@n+n.piemonte
Piepsen	n+n.cheep
Piepser	n.peeps@n.pagers@n+m.beeps@n+m.beeper
Piepston	n+m.bleep
Piepton	n+m.beep
Pier	n+m.pier
Piercing	n+n.piercing
Piercings	n.piercings
Pierre	n+m.pierre
Piet	n.piet
Pietät	n+f.piety
Pigment	n+n.pigment
Pigmente	n.pigments
Pigmentierung	n+f.pigmentation
Pik	n+n.spades@n+n.spade
Pike	n+f.pike@n+f.pikes
Pikte	n+m.pict
Pilates	n.pilates
Pilatus	n.pilate
Pilger	n+m.pilgrim@n+m.pilgrims
Pilgerfahrt	n+f.pilgrimage@n+f.haj@n+f.pilgrimages
Pille	n+f.pill
Pillen	n+f.pills
Pillsbury	n.pillsbury
Pilot	n+m.pilot@a.pilot@n+m.aviator@n+m.airmen@n+m.aviators
Piloten	n+m.pilots
Pilotin	n+f.pilot
Pilsen	n+n.pilsen
Pilz	n+m.mushroom@n+m.fungus
Pilz-	a.fungal
Pilze	n+m.mushrooms@n+m.fungi
Pima	n.pima
Pin-up	n+n.pinup
Pinckney	n+m.pinckney
Ping	n+m.ping
Pingen	n+n.pinging
Pings	n+m.pings
Pinguin	n+m.penguin
Pinguine	n+m.penguins
Pinkeln	n+n.peeing
Pinkerton	n.pinkerton
Pinnwand	n+f.noticeboard
Pinocchio	n.pinocchio
Pinochet	n.pinochet
Pinot	n+m.pinot
Pinsel	n+m.brush@n+m.brushes@n+m.paintbrush
Pint	n+n.pint
Pinte	n+f.pint
Pinter	n.pinter
Pinto	n+m.pinto
Pints	n.pints
Pinyin	n+n.pinyin
Pinzette	n+f.tweezers@n+f.forceps
Pion	n+n.pion
Pionier	n+m.pioneer@n+m.trailblazer@n+m.trailblazers
Pionier-	a.pioneering
Pionierarbeit leisten	v.pioneer
Pioniere	n+m.pioneers
Pip	n+m.pip@n+m.pips
Pipeline	n+f.pipeline
Pipelines	n+f.pipelines
Pipette	n+f.pipettes@n+f.pipette@n+f.dropper
Pippin	n+m.pippin@n.pepin
Piranha	n+m.piranha
Pirat	n+m.pirate
Piraten	n+m.pirates@n+m.buccaneers
Piraterie	n+f.piracy
Pirol	n+m.oriole
Pirole	n+m.orioles
Piräus	n.piraeus
Pis	n.pis
Pisa	n.pisa
Piscina	n+f.piscina
Pisse	n+f.piss
Pissoir	n+n.urinal@n+n.urinals
Pistazie	n+f.pistachio
Piste	n+f.piste
Pisten	n+f.slopes
Pistole	n+f.gun@n+f.pistol@n+f.handgun
Pistolen	n+f.guns@n+f.pistols@n.handguns
Pistolenhalfter	n.holsters
Pistolentasche	n+f.holster
Pistolero	n+m.gunslinger
Pita	n+n.pita
Pitcairn	n.pitcairn
Pitcher	n+m.pitchers
Pitman	n.pitman
Pitt	n+m.pitt
Pittman	n.pittman
Pitts	n.pitts
Pittsburgh	n+n.pittsburgh
Pius	n.pius
Pixel	n+m.pixels@n+m.pixel
Pizza	n+f.pizza
Pizzas	n.pizzas
Pizzen	n.pizzas
Pizzeria	n+f.pizzeria
Piñata	n+f.pinata
Pjöngjang	n.pyongyang
Placebo	n+n.placebo
Plackerei	n+f.fag@n+f.toil@n+f.slog
Plage	n+f.pest@n+f.plague@n+f.scourge@n+f.affliction@n+f.bugaboo@n+f.plagues@n+f.infestations
Plagiat	n+n.plagiarism
Plaid	n+m.plaid
Plakat	n+n.poster@n+n.placard@n+n.placards@n+n.affiche
Plakate	n+n.posters
Plakatwand	n+f.billboard@n+f.hoarding
Plakatwände	n.billboards
Plakette	n+f.badge@n+f.plaque
Plaketten	n+f.plaques
Plan	n+m.map@n+m.plan@n+m.schedule@n+m.scheme
Planck	n.planck
Plane	n+f.tarp@n+f.tarps
Planer	n+m.planner@n+m.organizer@n+m.planners@n+m.scheduler
Planet	n+m.planet
Planetarium	n+n.planetarium
Planeten	n+m.planets
Planeten-	a.planetary
Planiermaschinen	n+m.graders
Planierraupe	n+f.grader@n+f.bulldozer@n+f.dozer@n+f.bulldozers
Planke	n+f.plank@n+f.planks
Plankton	n+n.plankton
Plano	n.plano
Plantage	n+f.plantation
Plantagen	n+f.plantations
Planung	n+f.planning@n+f.scheduling
Plaque	n+f.plaque
Plaques	n+f.plaques
Plasma	n+n.plasma
Plasmen	n.plasmas
Plasmid	n+n.plasmid
Plasmide	n.plasmids
Plasmodium	n+n.plasmodium
Plastik	n+n.plastic@a.plastic@n+f.plastics
Plastizität	n+f.plasticity
Plastron	n+m.ascot
Plata	n+f.plata
Platane	n+f.sycamore
Plateau	n+n.plateau@n+n.plateaus
Plath	n.plath
Platin	n+n.platinum
Platon	n.plato
Platschen	n+n.splash@n+n.splashing
Platte	n+f.plate@n+f.slab@n+f.platter@n.platte@n+f.lamina
Platten	n+f.plates@n.slabs@n.platters
Plattenepithel-	a.squamous
Plattenmaterial	n+n.sheeting
Plattenspieler	n+m.turntable@n+m.turntables
Plattform	n+f.platform
Plattformen	n+f.platforms
Plattierung	n+f.plating
Platz	n+m.place@n+m.court@n+m.space@n+m.square@n+m.seat@n+m.plaza@n+m.pitch@n+m.piazza@n+m.plazas
Platzanweiser	n+m.usher@n+m.ushers
Platzhalter	n+m.placeholder
Platzierung	n+f.placement
Platzierungen	n+f.placements
Plauderer	n+m.babbler
Plaudertasche	n+f.chatterbox
Plausibilität	n+f.plausibility
PlayStation	n+f.playstation
Playa	n+f.playa
Playboy	n+m.playboy
Player	n+m.player
Playgirl	n+n.playgirl
Playlist	n+f.playlist
Playlists	n+f.playlists
Playmate	n+n.playmate
Playoff	n+n.playoff
Playoff-	a.postseason
Playoffs	n+m.playoffs
Playtex	n.playtex
Plaza	n+f.plaza@n+f.plazas
Plazenta	n+f.placenta
Plazenta-	a.placental
Pleistozän	n+n.pleistocene
Pleite	n+m.bust
Pleiten	n.busts
Plenar-	a.plenary
Plenum	n+n.plenum
Plexiglas	n+n.lucite
Plexus	n+m.plexus
Pliozän	n+n.pliocene
Plotter	n+m.plotter@n.plotters
Plovdiv	n.plovdiv
Pluderhose	n+f.bloomer
Plugin	n+n.plugin
Plugins	n+n.plugins
Plumpsklo	n+n.outhouse
Plunder	n+m.tat
Plural	n+m.plural
Pluralismus	n+m.pluralism
Pluralität	n+f.plurality
Plus	n+n.plus@n+n.pluses
Plutarch	n+m.plutarch
Pluto	n.pluto
Plutonium	n+n.plutonium
Plymouth	n+n.plymouth
Plädoyer	n+f.plea@n+n.pleading
Plädoyers	n+f.pleas@n.pleadings
Pläne	n+m.plans@n+m.maps@n+n.schemes
Plätteisen	n+n.flatiron
Plätze	n+f.places@n+m.seats@n+m.squares
Plünderer	n+m.raiders@n+m.marauder@n+m.looters
Plündern	n+n.raiding
Plünderung	n+f.looting@n+f.pillage
Plüsch	n+m.plush
Pneumatik	n+f.pneumatics
Pneumokokken-	a.pneumococcal
Po	n+m.butt
Pobacken	n.buns
Pocahontas	n.pocahontas
Pocatello	n.pocatello
Pocken	n+f.smallpox@n.pox
Pocono	n.pocono
Pod	n+m.pod
Podcast	n+m.podcast
Podcasting	n+n.podcasting
Podcasts	n+m.podcasts
Podest	n+n.pedestal@n+n.pedestals
Podiatrie	n+f.podiatry
Podium	n+n.podium
Podologe	n+m.podiatrists
Podologin	n+f.podiatrists
Pods	n+m.pods
Poe	n.poe
Poesie	n+f.poetry
Poet	n+m.poet
Poeten	n+m.poets
Poetik	n+f.poetics
Pogo	n+n.pogo
Poi	n+n.poi
Poincaré	n+m.poincare
Poinsettie	n+f.poinsettia
Pointe	n+f.punchline
Poirot	n+m.poirot
Poisson	n.poisson
Poitiers	n+n.poitiers
Pokal	n+m.cup@n+m.goblet@n+m.goblets
Poker	n+m.poker@n+n.pokers
Pokémon	n+n.pokemon
Pol	n+m.pole
Pola	n.pola
Polanski	n+m.polanski
Polaris	n.polaris
Polarisation	n+f.polarization@n+f.polarisation
Polarisator	n+m.polarizer
Polarisierung	n+f.polarization@n+f.polarisation
Polarität	n+f.polarity
Polarlicht	n+n.aurora
Polarlicht-	a.auroral
Polaroid	n.polaroid
Pole	n+m.poles
Polemik	n+f.polemic
Polen	n+n.poland
Police	n+f.policy
Policen	n+f.policies
Polieren	n+n.polishing@n+n.buffing
Polierer	n+m.polisher
Poliermaschine	n+f.polisher
Polio	n+f.polio
Polis	n+f.polis
Politbüro	n+n.politburo
Politik	n+f.policy@n+f.politics
Politiker	n+m.politicians@n+m.pol@n+m.politician@n+m.policymakers@n+m.pols@n+m.politico
Politikgestaltung	n+f.policymaking
Politur	n+f.polish@n+f.varnish@n+f.polishes
Polizei	n+f.police@n+f.fuzz@n+f.constabulary
Polizeiarbeit	n+f.policing
Polizist	n+m.cop@n+m.constable@n+m.trooper@n+m.policeman@n+m.constables
Polizisten	n+m.cops@n+m.troopers@n.policemen
Polk	n+m.polk
Polka	n+f.polka
Pollack	n+m.pollock@n+m.pollack@n.pollack
Pollen	n+m.pollen
Polly	n.polly
Polnisch	n+n.polish
Polo	n+n.polo
Polster	n+n.pad@n+n.pads
Polsterbezug	n+m.upholstery
Polsterung	n+f.padding@n+f.upholstery@n+f.cushioning
Poltergeist	n+m.poltergeist
Polyacrylamid	n+n.polyacrylamide
Polyamid	n+n.polyamide
Polycarbonat	n+n.polycarbonate
Polyester	n+n.poly@n+n.polyester
Polyethylen	n+n.polyethylene
Polygamie	n+f.polygamy
Polygon	n+n.polygon
Polygone	n.polygons
Polygraph	n+m.polygraph
Polymer	n+n.polymer
Polymerase	n+f.polymerase
Polymere	n+n.polymers
Polymerisation	n+f.polymerization
Polymorphismen	n.polymorphisms
Polymorphismus	n+m.polymorphism
Polynesien	n+n.polynesia
Polynesier	n+m.polynesian
Polynom	n+n.polynomial
Polynome	n+n.polynomials
Polyp	n+m.polyps
Polypeptid	n+n.polypeptide@n+n.polypeptides
Polyphonie	n+f.polyphony
Polypropylen	n+n.polypropylene
Polysaccharid	n+n.polysaccharides@n+n.polysaccharide
Polystyrol	n+n.polystyrene
Polyurethan	n+n.polyurethane
Polyvinyl	n+n.polyvinyl
Pom	n+m.pom
Pomfret	n+m.pomfret
Pommes	n+f.chip
Pommes frites	n+f.fries
Pomona	n.pomona
Pomp	n+m.pomp
Pompano	n+m.pompano
Pompeius	n.pompey
Pompeji	n.pompeii
Pompon	n+m.poms
Ponce	n.ponce
Poncho	n+m.poncho
Ponderosa	n.ponderosa
Pons	n.pons
Pontiac	n+m.pontiac
Pontifex	n+m.pontiff
Pontifikat	n+m.papacy
Ponton	n+m.pontoon
Pony	n+n.pony@n+m.bangs
Ponys	n.ponies
Pool	n+m.pool
Poolbillard	n+f.pool
Poole	n.poole
Pooling	n+n.pooling
Poolrand	n+m.poolside
Pools	n+m.pools
Poon	n+m.poon
Pop	n+m.pop
Pop-up-Fenster	n+f.popups
Popcorn	n+n.popcorn
Popeline	n+m.poplin
Popeye	n.popeye
Popper	n+m.popper@n+m.poppers
Poppins	n.poppins
Popularität	n+f.popularity
Populist	n+m.populist
Popup	n+n.popup
Popups	n+n.popups
Pore	n+f.pore
Poren	n.pores
Porno	n+m.porn@n+m.porno
Pornograf	n+m.pornographers
Pornografie	n+f.porn@n+f.pornography
Porosität	n+f.porosity
Porree	n+m.leek@n+f.leeks
Porridge	n+m.porridge
Porsche	n+m.porsche
